county,precinct,office,district,candidate,party,election_day,av_counting_boards,early_voting,votes
Delta,"City of Escanaba, Precinct 1",Governor of Wayne State University,,Over Vote Count,,0,0,0,0
Delta,"City of Escanaba, Precinct 1",Governor of Wayne State University,,Under Vote Count,,238,0,66,304
Delta,"City of Escanaba, Precinct 1",County Prosecuting Attorney,,Ballots Cast,,779,521,293,1593
Delta,"City of Escanaba, Precinct 1",County Prosecuting Attorney,,Lauren Wickman,Republican,576,320,228,1124
Delta,"City of Escanaba, Precinct 1",County Prosecuting Attorney,,Write-in,,31,9,5,45
Delta,"City of Escanaba, Precinct 1",County Prosecuting Attorney,,Over Vote Count,,0,0,0,0
Delta,"City of Escanaba, Precinct 1",County Prosecuting Attorney,,Under Vote Count,,172,0,60,232
Delta,"City of Escanaba, Precinct 1",County Sheriff,,Ballots Cast,,779,521,293,1593
Delta,"City of Escanaba, Precinct 1",County Sheriff,,Todd M. Tardiff,Republican,584,320,226,1130
Delta,"City of Escanaba, Precinct 1",County Sheriff,,Write-in,,27,10,8,45
Delta,"City of Escanaba, Precinct 1",County Sheriff,,Over Vote Count,,0,0,0,0
Delta,"City of Escanaba, Precinct 1",County Sheriff,,Under Vote Count,,168,0,59,227
Delta,"City of Escanaba, Precinct 1",County Clerk and Register of Deeds,,Ballots Cast,,779,521,293,1593
Delta,"City of Escanaba, Precinct 1",County Clerk and Register of Deeds,,Nancy Kolich Przewrocki,Republican,588,332,234,1154
Delta,"City of Escanaba, Precinct 1",County Clerk and Register of Deeds,,Write-in,,27,9,4,40
Delta,"City of Escanaba, Precinct 1",County Clerk and Register of Deeds,,Over Vote Count,,0,0,0,0
Delta,"City of Escanaba, Precinct 1",County Clerk and Register of Deeds,,Under Vote Count,,164,0,55,219
Delta,"City of Escanaba, Precinct 1",County Treasurer,,Ballots Cast,,779,521,293,1593
Delta,"City of Escanaba, Precinct 1",County Treasurer,,Sherry Godfrey,Republican,574,315,226,1115
Delta,"City of Escanaba, Precinct 1",County Treasurer,,Write-in,,22,12,4,38
Delta,"City of Escanaba, Precinct 1",County Treasurer,,Over Vote Count,,0,0,0,0
Delta,"City of Escanaba, Precinct 1",County Treasurer,,Under Vote Count,,183,0,63,246
Delta,"City of Escanaba, Precinct 1",County Road Commissioner,,Ballots Cast,,779,521,293,1593
Delta,"City of Escanaba, Precinct 1",County Road Commissioner,,Bob Aschbacher,Democrat,408,337,133,878
Delta,"City of Escanaba, Precinct 1",County Road Commissioner,,Mark Asselin,Democrat,399,318,111,828
Delta,"City of Escanaba, Precinct 1",County Road Commissioner,,Write-in,,37,10,15,62
Delta,"City of Escanaba, Precinct 1",County Road Commissioner,,Over Vote Count,,0,0,0,0
Delta,"City of Escanaba, Precinct 1",County Road Commissioner,,Under Vote Count,,714,0,327,1041
Delta,"City of Escanaba, Precinct 1",County Drain Commissioner,,Ballots Cast,,779,521,293,1593
Delta,"City of Escanaba, Precinct 1",County Drain Commissioner,,Dean Auger,Republican,559,305,219,1083
Delta,"City of Escanaba, Precinct 1",County Drain Commissioner,,Write-in,,25,7,5,37
Delta,"City of Escanaba, Precinct 1",County Drain Commissioner,,Over Vote Count,,0,0,0,0
Delta,"City of Escanaba, Precinct 1",County Drain Commissioner,,Under Vote Count,,195,0,69,264
Delta,"City of Escanaba, Precinct 1",County Surveyor,,Ballots Cast,,779,521,293,1593
Delta,"City of Escanaba, Precinct 1",County Surveyor,,Terence S. Wanic,Republican,561,312,224,1097
Delta,"City of Escanaba, Precinct 1",County Surveyor,,Write-in,,25,7,5,37
Delta,"City of Escanaba, Precinct 1",County Surveyor,,Over Vote Count,,0,0,0,0
Delta,"City of Escanaba, Precinct 1",County Surveyor,,Under Vote Count,,193,0,64,257
Delta,"City of Escanaba, Precinct 1",County Commissioner 4th  District,,Ballots Cast,,779,521,293,1593
Delta,"City of Escanaba, Precinct 1",County Commissioner 4th  District,,Kelli J. van Ginhoven,Democrat,381,332,124,837
Delta,"City of Escanaba, Precinct 1",County Commissioner 4th  District,,David Moyle,Republican,346,169,156,671
Delta,"City of Escanaba, Precinct 1",County Commissioner 4th  District,,Write-in,,11,2,6,19
Delta,"City of Escanaba, Precinct 1",County Commissioner 4th  District,,Over Vote Count,,0,0,0,0
Delta,"City of Escanaba, Precinct 1",County Commissioner 4th  District,,Under Vote Count,,41,0,7,48
Delta,"City of Escanaba, Precinct 1",Justice of Supreme Court - 8 Year Term,,Ballots Cast,,779,521,293,1593
Delta,"City of Escanaba, Precinct 1",Justice of Supreme Court - 8 Year Term,,Andrew Fink,,269,131,134,534
Delta,"City of Escanaba, Precinct 1",Justice of Supreme Court - 8 Year Term,,Kimberly Ann Thomas,,304,272,93,669
Delta,"City of Escanaba, Precinct 1",Justice of Supreme Court - 8 Year Term,,Write-in,,16,0,9,25
Delta,"City of Escanaba, Precinct 1",Justice of Supreme Court - 8 Year Term,,Over Vote Count,,0,0,0,0
Delta,"City of Escanaba, Precinct 1",Justice of Supreme Court - 8 Year Term,,Under Vote Count,,190,0,57,247
Delta,"City of Escanaba, Precinct 1",Justice of Supreme Court - Partial Term Ending 01/01/2029,,Ballots Cast,,779,521,293,1593
Delta,"City of Escanaba, Precinct 1",Justice of Supreme Court - Partial Term Ending 01/01/2029,,Kyra Harris Bolden,,340,268,121,729
Delta,"City of Escanaba, Precinct 1",Justice of Supreme Court - Partial Term Ending 01/01/2029,,Patrick William O'Grady,,224,128,103,455
Delta,"City of Escanaba, Precinct 1",Justice of Supreme Court - Partial Term Ending 01/01/2029,,Write-in,,14,0,8,22
Delta,"City of Escanaba, Precinct 1",Justice of Supreme Court - Partial Term Ending 01/01/2029,,Over Vote Count,,0,0,1,1
Delta,"City of Escanaba, Precinct 1",Justice of Supreme Court - Partial Term Ending 01/01/2029,,Under Vote Count,,201,0,60,261
Delta,"City of Escanaba, Precinct 1",Judge of Court of Appeals 4th District - 6 Year Term,,Ballots Cast,,779,521,293,1593
Delta,"City of Escanaba, Precinct 1",Judge of Court of Appeals 4th District - 6 Year Term,,Stephen L. Borrello,,458,299,159,916
Delta,"City of Escanaba, Precinct 1",Judge of Court of Appeals 4th District - 6 Year Term,,Write-in,,20,0,14,34
Delta,"City of Escanaba, Precinct 1",Judge of Court of Appeals 4th District - 6 Year Term,,Over Vote Count,,0,0,0,0
Delta,"City of Escanaba, Precinct 1",Judge of Court of Appeals 4th District - 6 Year Term,,Under Vote Count,,301,0,120,421
Delta,"City of Escanaba, Precinct 1",Judge of Court of Appeals 4th District - Incumbent Position - Partial Term Ending 01/01/2027,,Ballots Cast,,779,521,293,1593
Delta,"City of Escanaba, Precinct 1",Judge of Court of Appeals 4th District - Incumbent Position - Partial Term Ending 01/01/2027,,Allie Greenleaf Maldonado,,446,303,157,906
Delta,"City of Escanaba, Precinct 1",Judge of Court of Appeals 4th District - Incumbent Position - Partial Term Ending 01/01/2027,,Write-in,,23,0,13,36
Delta,"City of Escanaba, Precinct 1",Judge of Court of Appeals 4th District - Incumbent Position - Partial Term Ending 01/01/2027,,Over Vote Count,,0,0,0,0
Delta,"City of Escanaba, Precinct 1",Judge of Court of Appeals 4th District - Incumbent Position - Partial Term Ending 01/01/2027,,Under Vote Count,,310,0,123,433
Delta,"City of Escanaba, Precinct 1",Judge of Probate Court,,Ballots Cast,,779,521,293,1593
Delta,"City of Escanaba, Precinct 1",Judge of Probate Court,,Perry R. Lund,,477,306,175,958
Delta,"City of Escanaba, Precinct 1",Judge of Probate Court,,Write-in,,26,3,14,43
Delta,"City of Escanaba, Precinct 1",Judge of Probate Court,,Over Vote Count,,0,0,0,0
Delta,"City of Escanaba, Precinct 1",Judge of Probate Court,,Under Vote Count,,276,0,104,380
Delta,"City of Escanaba, Precinct 1",Bay De Noc Community College Board of Trustees Member,,Ballots Cast,,779,521,293,1593
Delta,"City of Escanaba, Precinct 1",Bay De Noc Community College Board of Trustees Member,,Dennis L. Hopkins,,216,160,76,452
Delta,"City of Escanaba, Precinct 1",Bay De Noc Community College Board of Trustees Member,,Terri Mileski,,320,272,124,716
Delta,"City of Escanaba, Precinct 1",Bay De Noc Community College Board of Trustees Member,,Steven D. Soderman,,289,202,127,618
Delta,"City of Escanaba, Precinct 1",Bay De Noc Community College Board of Trustees Member,,Write-in,,17,1,9,27
Delta,"City of Escanaba, Precinct 1",Bay De Noc Community College Board of Trustees Member,,Over Vote Count,,0,0,0,0
Delta,"City of Escanaba, Precinct 1",Bay De Noc Community College Board of Trustees Member,,Under Vote Count,,716,0,250,966
Delta,"City of Escanaba, Precinct 1",Escanaba Area Public Schools Board Member,,Ballots Cast,,779,521,293,1593
Delta,"City of Escanaba, Precinct 1",Escanaba Area Public Schools Board Member,,James Beauchamp,,339,288,147,774
Delta,"City of Escanaba, Precinct 1",Escanaba Area Public Schools Board Member,,Dan Flynn,,350,290,144,784
Delta,"City of Escanaba, Precinct 1",Escanaba Area Public Schools Board Member,,JJ Johnson-Reeves,,248,227,105,580
Delta,"City of Escanaba, Precinct 1",Escanaba Area Public Schools Board Member,,LeeAnne M. Oman,,240,190,90,520
Delta,"City of Escanaba, Precinct 1",Escanaba Area Public Schools Board Member,,Write-in,,20,1,15,36
Delta,"City of Escanaba, Precinct 1",Escanaba Area Public Schools Board Member,,Over Vote Count,,0,0,0,0
Delta,"City of Escanaba, Precinct 1",Escanaba Area Public Schools Board Member,,Under Vote Count,,1140,0,378,1518
Delta,"City of Escanaba, Precinct 1",Delta County - 911 Millage Renewal Proposal,,Ballots Cast,,779,521,293,1593
Delta,"City of Escanaba, Precinct 1",Delta County - 911 Millage Renewal Proposal,,Yes,,478,365,208,1051
Delta,"City of Escanaba, Precinct 1",Delta County - 911 Millage Renewal Proposal,,No,,189,112,61,362
Delta,"City of Escanaba, Precinct 1",Delta County - 911 Millage Renewal Proposal,,Over Vote Count,,1,0,0,1
Delta,"City of Escanaba, Precinct 1",Delta County - 911 Millage Renewal Proposal,,Under Vote Count,,111,0,24,135
Delta,"City of Escanaba, Precinct 1",Delta County - Veterans Affairs Millage Proposal,,Ballots Cast,,779,521,293,1593
Delta,"City of Escanaba, Precinct 1",Delta County - Veterans Affairs Millage Proposal,,Yes,,491,363,205,1059
Delta,"City of Escanaba, Precinct 1",Delta County - Veterans Affairs Millage Proposal,,No,,172,109,66,347
Delta,"City of Escanaba, Precinct 1",Delta County - Veterans Affairs Millage Proposal,,Over Vote Count,,0,0,0,0
Delta,"City of Escanaba, Precinct 1",Delta County - Veterans Affairs Millage Proposal,,Under Vote Count,,116,0,22,138
Delta,"City of Escanaba, Precinct 2",President,,Ballots Cast,,653,806,296,1755
Delta,"City of Escanaba, Precinct 2",President,,Kamala D. Harris / Tim Walz,Democrat,212,419,65,696
Delta,"City of Escanaba, Precinct 2",President,,Donald J. Trump / JD Vance,Republican,426,371,231,1028
Delta,"City of Escanaba, Precinct 2",President,,Chase Oliver / Mike ter Maat,Libertarian,4,3,0,7
Delta,"City of Escanaba, Precinct 2",President,,Jill Stein / Rudolph Ware,Green,1,4,0,5
Delta,"City of Escanaba, Precinct 2",President,,"Robert F. Kennedy, Jr. / Nicole Shanahan",Natural Law,4,3,0,7
Delta,"City of Escanaba, Precinct 2",President,,Write-in,,2,0,0,2
Delta,"City of Escanaba, Precinct 2",President,,Over Vote Count,,0,0,0,0
Delta,"City of Escanaba, Precinct 2",President,,Under Vote Count,,4,6,0,10
Delta,"City of Escanaba, Precinct 2",U.S. Senate,,Ballots Cast,,653,806,296,1755
Delta,"City of Escanaba, Precinct 2",U.S. Senate,,Elissa Slotkin,Democrat,210,406,62,678
Delta,"City of Escanaba, Precinct 2",U.S. Senate,,Mike Rogers,Republican,399,375,225,999
Delta,"City of Escanaba, Precinct 2",U.S. Senate,,Joseph Solis-Mullen,Libertarian,7,5,1,13
Delta,"City of Escanaba, Precinct 2",U.S. Senate,,Dave Stein,U.S. Taxpayers,6,3,2,11
Delta,"City of Escanaba, Precinct 2",U.S. Senate,,Douglas P. Marsh,Green,6,2,1,9
Delta,"City of Escanaba, Precinct 2",U.S. Senate,,Doug Dern,Natural Law,4,1,0,5
Delta,"City of Escanaba, Precinct 2",U.S. Senate,,Write-in,,2,0,0,2
Delta,"City of Escanaba, Precinct 2",U.S. Senate,,Over Vote Count,,0,0,0,0
Delta,"City of Escanaba, Precinct 2",U.S. Senate,,Under Vote Count,,19,14,5,38
Delta,"City of Escanaba, Precinct 2",U.S. House,1,Ballots Cast,,653,806,296,1755
Delta,"City of Escanaba, Precinct 2",U.S. House,1,Callie Barr,Democrat,214,411,68,693
Delta,"City of Escanaba, Precinct 2",U.S. House,1,Jack Bergman,Republican,392,371,223,986
Delta,"City of Escanaba, Precinct 2",U.S. House,1,Andrew Gale,Libertarian,5,3,0,8
Delta,"City of Escanaba, Precinct 2",U.S. House,1,Liz Hakola,Working Class,18,5,2,25
Delta,"City of Escanaba, Precinct 2",U.S. House,1,Write-in,,3,0,0,3
Delta,"City of Escanaba, Precinct 2",U.S. House,1,Over Vote Count,,0,0,0,0
Delta,"City of Escanaba, Precinct 2",U.S. House,1,Under Vote Count,,21,16,3,40
Delta,"City of Escanaba, Precinct 2",State House,108,Ballots Cast,,653,806,296,1755
Delta,"City of Escanaba, Precinct 2",State House,108,Christiana Reynolds,Democrat,210,386,68,664
Delta,"City of Escanaba, Precinct 2",State House,108,David Prestin,Republican,406,394,223,1023
Delta,"City of Escanaba, Precinct 2",State House,108,Kayla Wikstrom,Libertarian,16,6,1,23
Delta,"City of Escanaba, Precinct 2",State House,108,Write-in,,1,0,0,1
Delta,"City of Escanaba, Precinct 2",State House,108,Over Vote Count,,1,0,0,1
Delta,"City of Escanaba, Precinct 2",State House,108,Under Vote Count,,19,20,4,43
Delta,"City of Escanaba, Precinct 2",Member of the State Board of Education,,Ballots Cast,,653,806,296,1755
Delta,"City of Escanaba, Precinct 2",Member of the State Board of Education,,Theodore Jones,Democrat,176,359,54,589
Delta,"City of Escanaba, Precinct 2",Member of the State Board of Education,,Adam Frederick Zemke,Democrat,168,330,51,549
Delta,"City of Escanaba, Precinct 2",Member of the State Board of Education,,Tom McMillin,Republican,355,343,205,903
Delta,"City of Escanaba, Precinct 2",Member of the State Board of Education,,Nikki Snyder,Republican,351,355,207,913
Delta,"City of Escanaba, Precinct 2",Member of the State Board of Education,,Scotty Boman,Libertarian,30,19,3,52
Delta,"City of Escanaba, Precinct 2",Member of the State Board of Education,,Ted Gerrard,U.S. Taxpayers,5,4,0,9
Delta,"City of Escanaba, Precinct 2",Member of the State Board of Education,,Christine C. Schwartz,U.S. Taxpayers,8,4,3,15
Delta,"City of Escanaba, Precinct 2",Member of the State Board of Education,,Mary Anne Hering,Working Class,42,29,12,83
Delta,"City of Escanaba, Precinct 2",Member of the State Board of Education,,Write-in,,8,0,1,9
Delta,"City of Escanaba, Precinct 2",Member of the State Board of Education,,Over Vote Count,,0,0,0,0
Delta,"City of Escanaba, Precinct 2",Member of the State Board of Education,,Under Vote Count,,163,169,56,388
Delta,"City of Escanaba, Precinct 2",Regent of the University of Michigan,,Ballots Cast,,653,806,296,1755
Delta,"City of Escanaba, Precinct 2",Regent of the University of Michigan,,Denise Ilitch,Democrat,176,354,56,586
Delta,"City of Escanaba, Precinct 2",Regent of the University of Michigan,,Shauna Ryder Diggs,Democrat,172,333,48,553
Delta,"City of Escanaba, Precinct 2",Regent of the University of Michigan,,Carl Meyers,Republican,370,369,211,950
Delta,"City of Escanaba, Precinct 2",Regent of the University of Michigan,,Sevag Vartanian,Republican,315,319,196,830
Delta,"City of Escanaba, Precinct 2",Regent of the University of Michigan,,Andrew Chadderdon,Libertarian,30,14,4,48
Delta,"City of Escanaba, Precinct 2",Regent of the University of Michigan,,Donna M. Oetman,U.S. Taxpayers,28,17,6,51
Delta,"City of Escanaba, Precinct 2",Regent of the University of Michigan,,Write-in,,9,2,3,14
Delta,"City of Escanaba, Precinct 2",Regent of the University of Michigan,,Over Vote Count,,0,0,0,0
Delta,"City of Escanaba, Precinct 2",Regent of the University of Michigan,,Under Vote Count,,206,204,68,478
Delta,"City of Escanaba, Precinct 2",Trustee of Michigan State University,,Ballots Cast,,653,806,296,1755
Delta,"City of Escanaba, Precinct 2",Trustee of Michigan State University,,Rebecca Bahar-Cook,Democrat,178,350,54,582
Delta,"City of Escanaba, Precinct 2",Trustee of Michigan State University,,Thomas Stallworth III,Democrat,164,328,51,543
Delta,"City of Escanaba, Precinct 2",Trustee of Michigan State University,,Mike Balow,Republican,352,356,205,913
Delta,"City of Escanaba, Precinct 2",Trustee of Michigan State University,,Julie Maday,Republican,340,356,195,891
Delta,"City of Escanaba, Precinct 2",Trustee of Michigan State University,,Grant T. Baker,Libertarian,19,9,2,30
Delta,"City of Escanaba, Precinct 2",Trustee of Michigan State University,,Janet M. Sanger,U.S. Taxpayers,11,10,7,28
Delta,"City of Escanaba, Precinct 2",Trustee of Michigan State University,,John Paul Sanger,U.S. Taxpayers,12,2,5,19
Delta,"City of Escanaba, Precinct 2",Trustee of Michigan State University,,John Anthony La Pietra,Green,17,9,1,27
Delta,"City of Escanaba, Precinct 2",Trustee of Michigan State University,,Write-in,,9,2,3,14
Delta,"City of Escanaba, Precinct 2",Trustee of Michigan State University,,Over Vote Count,,2,0,0,2
Delta,"City of Escanaba, Precinct 2",Trustee of Michigan State University,,Under Vote Count,,202,190,69,461
Delta,"City of Escanaba, Precinct 2",Governor of Wayne State University,,Ballots Cast,,653,806,296,1755
Delta,"City of Escanaba, Precinct 2",Governor of Wayne State University,,Rasha Demashkieh,Democrat,162,316,52,530
Delta,"City of Escanaba, Precinct 2",Governor of Wayne State University,,Mark T. Gaffney,Democrat,172,340,54,566
Delta,"City of Escanaba, Precinct 2",Governor of Wayne State University,,Michael Busuito,Republican,336,347,202,885
Delta,"City of Escanaba, Precinct 2",Governor of Wayne State University,,Sunny Reddy,Republican,336,344,200,880
Delta,"City of Escanaba, Precinct 2",Governor of Wayne State University,,Farid Ishac,Libertarian,9,5,1,15
Delta,"City of Escanaba, Precinct 2",Governor of Wayne State University,,William Mohr II,U.S. Taxpayers,11,7,2,20
Delta,"City of Escanaba, Precinct 2",Governor of Wayne State University,,Sami Makhoul,Green,10,5,2,17
Delta,"City of Escanaba, Precinct 2",Governor of Wayne State University,,Suzanne Roehrig,Working Class,25,19,4,48
Delta,"City of Escanaba, Precinct 2",Governor of Wayne State University,,Kathleen Oakford,Natural Law,13,10,3,26
Delta,"City of Escanaba, Precinct 2",Governor of Wayne State University,,Write-in,,9,4,2,15
Delta,"City of Escanaba, Precinct 2",Governor of Wayne State University,,Over Vote Count,,0,0,0,0
Delta,"City of Escanaba, Precinct 2",Governor of Wayne State University,,Under Vote Count,,223,215,70,508
Delta,"City of Escanaba, Precinct 2",County Prosecuting Attorney,,Ballots Cast,,653,806,296,1755
Delta,"City of Escanaba, Precinct 2",County Prosecuting Attorney,,Lauren Wickman,Republican,503,533,250,1286
Delta,"City of Escanaba, Precinct 2",County Prosecuting Attorney,,Write-in,,16,11,6,33
Delta,"City of Escanaba, Precinct 2",County Prosecuting Attorney,,Over Vote Count,,0,1,0,1
Delta,"City of Escanaba, Precinct 2",County Prosecuting Attorney,,Under Vote Count,,134,261,40,435
Delta,"City of Escanaba, Precinct 2",County Sheriff,,Ballots Cast,,653,806,296,1755
