county,precinct,office,district,candidate,party,votes,election_day,absentee,early_voting
Bay,Bangor Township Precinct 1,County Executive Bay County,,Jim Barcia,DEM,504,161,277,66
Bay,Bangor Township Precinct 1,County Executive Bay County,,Kevin Shark,REP,531,290,167,74
Bay,Bangor Township Precinct 1,County Executive Bay County,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,Prosecuting Attorney Bay County,,Nancy E. Borushko,DEM,432,127,249,56
Bay,Bangor Township Precinct 1,Prosecuting Attorney Bay County,,Mike Kanuszewski,REP,640,340,211,89
Bay,Bangor Township Precinct 1,Prosecuting Attorney Bay County,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,Sheriff Bay County,,Troy R. Cunningham,DEM,743,311,338,94
Bay,Bangor Township Precinct 1,Sheriff Bay County,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,Clerk Bay County,,Kathleen Zanotti,DEM,670,269,313,88
Bay,Bangor Township Precinct 1,Clerk Bay County,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,Treasurer Bay County,,Weston Prince,DEM,659,267,305,87
Bay,Bangor Township Precinct 1,Treasurer Bay County,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,Register of Deeds Bay County,,Brandon D. Krause,DEM,659,271,304,84
Bay,Bangor Township Precinct 1,Register of Deeds Bay County,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,County Road Commissioner Bay County,,Michael J. Maillette,DEM,403,122,227,54
Bay,Bangor Township Precinct 1,County Road Commissioner Bay County,,Bill Schumacher,REP,645,343,215,87
Bay,Bangor Township Precinct 1,County Road Commissioner Bay County,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,Drain Commissioner Bay County,,Bill Jordan,DEM,376,110,220,46
Bay,Bangor Township Precinct 1,Drain Commissioner Bay County,,Michael Rivard,REP,672,356,221,95
Bay,Bangor Township Precinct 1,Drain Commissioner Bay County,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,County Commissioner County Commissioner District 02,,Kathie Marchlewski,DEM,390,115,224,51
Bay,Bangor Township Precinct 1,County Commissioner County Commissioner District 02,,Tim Banaszak,REP,667,350,228,89
Bay,Bangor Township Precinct 1,County Commissioner County Commissioner District 02,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,Supervisor Bangor Township,,Glenn Rowley,DEM,691,281,324,86
Bay,Bangor Township Precinct 1,Supervisor Bangor Township,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,Clerk Bangor Township,,Dawn Bublitz,DEM,682,275,324,83
Bay,Bangor Township Precinct 1,Clerk Bangor Township,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,Treasurer Bangor Township,,Karie Wardynski,DEM,662,268,313,81
Bay,Bangor Township Precinct 1,Treasurer Bangor Township,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,Trustee Bangor Township,,Floyd Sonny Willett,DEM,424,143,228,53
Bay,Bangor Township Precinct 1,Trustee Bangor Township,,Diane Yaworski,DEM,403,126,229,48
Bay,Bangor Township Precinct 1,Trustee Bangor Township,,Katie Caldwell,REP,612,324,201,87
Bay,Bangor Township Precinct 1,Trustee Bangor Township,,Tracy Gilles Koch,REP,646,333,225,88
Bay,Bangor Township Precinct 1,Trustee Bangor Township,,Brian Taylor,REP,561,289,192,80
Bay,Bangor Township Precinct 1,Trustee Bangor Township,,Bob Thomas,REP,565,283,200,82
Bay,Bangor Township Precinct 1,Trustee Bangor Township,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,Justice of Supreme Court Supreme Court,,Andrew Fink,,367,185,130,52
Bay,Bangor Township Precinct 1,Justice of Supreme Court Supreme Court,,Kimberly Ann Thomas,,479,185,237,57
Bay,Bangor Township Precinct 1,Justice of Supreme Court Supreme Court,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,Justice of Supreme Court Supreme Court,,Kyra Harris Bolden,,466,174,235,57
Bay,Bangor Township Precinct 1,Justice of Supreme Court Supreme Court,,Patrick William O'Grady,,366,185,132,49
Bay,Bangor Township Precinct 1,Justice of Supreme Court Supreme Court,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,Judge of Court of Appeals 4th District,,Stephen L. Borrello,,666,297,286,83
Bay,Bangor Township Precinct 1,Judge of Court of Appeals 4th District,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,Judge of Court of Appeals 4th District,,Allie Greenleaf Maldonado,,634,279,279,76
Bay,Bangor Township Precinct 1,Judge of Court of Appeals 4th District,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,Judge of Probate Court Bay County Probate Court,,Jan A. Miner,,691,303,302,86
Bay,Bangor Township Precinct 1,Judge of Probate Court Bay County Probate Court,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,Judge of District Court 74th District,,Timothy J. Kelly,,726,325,311,90
Bay,Bangor Township Precinct 1,Judge of District Court 74th District,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,Delta College Board of Trustees Member County of Bay Delta College,,Michael D. Rowley,,680,313,283,84
Bay,Bangor Township Precinct 1,Delta College Board of Trustees Member County of Bay Delta College,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,Delta College Board of Trustees Member County of Midland Delta College,,Stacey L. Gannon,,618,272,269,77
Bay,Bangor Township Precinct 1,Delta College Board of Trustees Member County of Midland Delta College,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,Delta College Board of Trustees Member County of Saginaw Delta College,,Alexis S. Thomas,,608,272,258,78
Bay,Bangor Township Precinct 1,Delta College Board of Trustees Member County of Saginaw Delta College,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,Local School District Board Member Bangor Township School District,,Greg Buzzard,,307,137,120,50
Bay,Bangor Township Precinct 1,Local School District Board Member Bangor Township School District,,Brian M. Gallagher,,428,195,183,50
Bay,Bangor Township Precinct 1,Local School District Board Member Bangor Township School District,,Matt Nemode,,318,145,126,47
Bay,Bangor Township Precinct 1,Local School District Board Member Bangor Township School District,,Mark Seymour,,383,163,171,49
Bay,Bangor Township Precinct 1,Local School District Board Member Bangor Township School District,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,Bay County Community Center Outdoor Public Pool Area Millage Bay County,,Yes,,535,238,217,80
Bay,Bangor Township Precinct 1,Bay County Community Center Outdoor Public Pool Area Millage Bay County,,No,,492,219,224,49
Bay,Bangor Township Precinct 1,Mosquito Control Millage Renewal Bay County,,Yes,,882,366,401,115
Bay,Bangor Township Precinct 1,Mosquito Control Millage Renewal Bay County,,No,,179,99,55,25
Bay,Bangor Township Precinct 1,Bay Metropolitan Transportation Authority Millage Renewal Bay County,,Yes,,653,253,308,92
Bay,Bangor Township Precinct 1,Bay Metropolitan Transportation Authority Millage Renewal Bay County,,No,,397,207,147,43
Bay,Bangor Township Precinct 2,Registered Voters - Total,,,,1955,,,
Bay,Bangor Township Precinct 2,Ballots Cast - Total,,,,1437,622,613,202
Bay,Bangor Township Precinct 2,Ballots Cast - Blank,,,,0,0,0,0
Bay,Bangor Township Precinct 2,Straight Party Ticket,,Democrat,DEM,260,72,163,25
Bay,Bangor Township Precinct 2,Straight Party Ticket,,Republican,REP,386,201,116,69
Bay,Bangor Township Precinct 2,Straight Party Ticket,,Libertarian,LIB,0,0,0,0
Bay,Bangor Township Precinct 2,Straight Party Ticket,,U.S. Taxpayers,UST,1,1,0,0
Bay,Bangor Township Precinct 2,Straight Party Ticket,,Green,GRN,0,0,0,0
Bay,Bangor Township Precinct 2,Straight Party Ticket,,Working Class,WCP,2,2,0,0
Bay,Bangor Township Precinct 2,Straight Party Ticket,,Natural Law,NLP,1,1,0,0
Bay,Bangor Township Precinct 2,President,,Kamala D. Harris,DEM,534,155,336,43
Bay,Bangor Township Precinct 2,President,,Donald J. Trump,REP,886,463,267,156
Bay,Bangor Township Precinct 2,President,,Chase Oliver,LIB,3,2,0,1
Bay,Bangor Township Precinct 2,President,,Randall Terry,UST,0,0,0,0
Bay,Bangor Township Precinct 2,President,,Jill Stein,GRN,1,0,0,1
Bay,Bangor Township Precinct 2,President,,"Robert F. Kennedy, Jr.",NLP,3,0,3,0
Bay,Bangor Township Precinct 2,President,,Joseph Kishore,,0,0,0,0
Bay,Bangor Township Precinct 2,President,,Cornel West,,0,0,0,0
Bay,Bangor Township Precinct 2,President,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 2,U.S. Senate,,Elissa Slotkin,DEM,548,164,335,49
Bay,Bangor Township Precinct 2,U.S. Senate,,Mike Rogers,REP,810,418,249,143
Bay,Bangor Township Precinct 2,U.S. Senate,,Joseph Solis-Mullen,LIB,15,5,6,4
Bay,Bangor Township Precinct 2,U.S. Senate,,Dave Stein,UST,13,7,5,1
Bay,Bangor Township Precinct 2,U.S. Senate,,Douglas P. Marsh,GRN,1,1,0,0
Bay,Bangor Township Precinct 2,U.S. Senate,,Doug Dern,NLP,1,1,0,0
Bay,Bangor Township Precinct 2,U.S. Senate,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 2,U.S. House,8,Kristen McDonald Rivet,DEM,608,199,350,59
Bay,Bangor Township Precinct 2,U.S. House,8,Paul Junge,REP,740,375,235,130
Bay,Bangor Township Precinct 2,U.S. House,8,Steve Barcelo,LIB,14,5,4,5
Bay,Bangor Township Precinct 2,U.S. House,8,James Allen Little,UST,11,8,2,1
Bay,Bangor Township Precinct 2,U.S. House,8,Jim Casha,GRN,4,2,2,0
Bay,Bangor Township Precinct 2,U.S. House,8,Kathy Goodwin,WCP,16,12,2,2
Bay,Bangor Township Precinct 2,U.S. House,8,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 2,State House,96,"Rudy M. Howard, Jr.",DEM,465,129,294,42
Bay,Bangor Township Precinct 2,State House,96,Timothy Beson,REP,930,468,306,156
Bay,Bangor Township Precinct 2,State House,96,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 2,Member of the State Board of Education State,,Theodore Jones,DEM,437,117,283,37
Bay,Bangor Township Precinct 2,Member of the State Board of Education State,,Adam Frederick Zemke,DEM,436,116,283,37
Bay,Bangor Township Precinct 2,Member of the State Board of Education State,,Tom McMillin,REP,707,363,220,124
Bay,Bangor Township Precinct 2,Member of the State Board of Education State,,Nikki Snyder,REP,724,366,230,128
Bay,Bangor Township Precinct 2,Member of the State Board of Education State,,Scotty Boman,LIB,44,22,16,6
Bay,Bangor Township Precinct 2,Member of the State Board of Education State,,Ted Gerrard,UST,21,12,6,3
Bay,Bangor Township Precinct 2,Member of the State Board of Education State,,Christine C. Schwartz,UST,33,17,13,3
Bay,Bangor Township Precinct 2,Member of the State Board of Education State,,Mary Anne Hering,WCP,58,36,17,5
Bay,Bangor Township Precinct 2,Member of the State Board of Education State,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 2,Regent of the University of Michigan State,,Shauna Ryder Diggs,DEM,448,127,283,38
Bay,Bangor Township Precinct 2,Regent of the University of Michigan State,,Denise Ilitch,DEM,487,137,310,40
Bay,Bangor Township Precinct 2,Regent of the University of Michigan State,,Carl Meyers,REP,748,388,230,130
Bay,Bangor Township Precinct 2,Regent of the University of Michigan State,,Sevag Vartanian,REP,636,322,197,117
Bay,Bangor Township Precinct 2,Regent of the University of Michigan State,,Andrew Chadderdon,LIB,50,20,21,9
Bay,Bangor Township Precinct 2,Regent of the University of Michigan State,,Donna M. Oetman,UST,44,32,8,4
Bay,Bangor Township Precinct 2,Regent of the University of Michigan State,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 2,Trustee of Michigan State University State,,Rebecca Bahar-Cook,DEM,470,136,293,41
Bay,Bangor Township Precinct 2,Trustee of Michigan State University State,,Thomas Stallworth III,DEM,425,111,276,38
Bay,Bangor Township Precinct 2,Trustee of Michigan State University State,,Mike Balow,REP,703,363,215,125
Bay,Bangor Township Precinct 2,Trustee of Michigan State University State,,Julie Maday,REP,694,345,227,122
Bay,Bangor Township Precinct 2,Trustee of Michigan State University State,,Grant T. Baker,LIB,32,16,14,2
Bay,Bangor Township Precinct 2,Trustee of Michigan State University State,,Janet M. Sanger,UST,33,20,11,2
Bay,Bangor Township Precinct 2,Trustee of Michigan State University State,,John Paul Sanger,UST,27,19,5,3
Bay,Bangor Township Precinct 2,Trustee of Michigan State University State,,John Anthony La Pietra,GRN,16,10,3,3
Bay,Bangor Township Precinct 2,Trustee of Michigan State University State,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 2,Governor of Wayne State University State,,Rasha Demashkieh,DEM,421,116,268,37
Bay,Bangor Township Precinct 2,Governor of Wayne State University State,,Mark T. Gaffney,DEM,457,128,292,37
Bay,Bangor Township Precinct 2,Governor of Wayne State University State,,Michael Busuito,REP,690,353,210,127
Bay,Bangor Township Precinct 2,Governor of Wayne State University State,,Sunny Reddy,REP,671,331,214,126
Bay,Bangor Township Precinct 2,Governor of Wayne State University State,,Farid Ishac,LIB,30,15,14,1
Bay,Bangor Township Precinct 2,Governor of Wayne State University State,,William Mohr II,UST,21,17,3,1
Bay,Bangor Township Precinct 2,Governor of Wayne State University State,,Sami Makhoul,GRN,10,6,4,0
Bay,Bangor Township Precinct 2,Governor of Wayne State University State,,Suzanne Roehrig,WCP,44,23,17,4
Bay,Bangor Township Precinct 2,Governor of Wayne State University State,,Kathleen Oakford,NLP,10,6,2,2
Bay,Bangor Township Precinct 2,Governor of Wayne State University State,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 2,County Executive Bay County,,Jim Barcia,DEM,613,198,354,61
Bay,Bangor Township Precinct 2,County Executive Bay County,,Kevin Shark,REP,711,363,222,126
Bay,Bangor Township Precinct 2,County Executive Bay County,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 2,Prosecuting Attorney Bay County,,Nancy E. Borushko,DEM,493,138,309,46
Bay,Bangor Township Precinct 2,Prosecuting Attorney Bay County,,Mike Kanuszewski,REP,860,440,274,146
Bay,Bangor Township Precinct 2,Prosecuting Attorney Bay County,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 2,Sheriff Bay County,,Troy R. Cunningham,DEM,918,365,439,114
Bay,Bangor Township Precinct 2,Sheriff Bay County,,Write-ins,,2,2,0,0
Bay,Bangor Township Precinct 2,Clerk Bay County,,Kathleen Zanotti,DEM,845,331,410,104
Bay,Bangor Township Precinct 2,Clerk Bay County,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 2,Treasurer Bay County,,Weston Prince,DEM,825,323,399,103
Bay,Bangor Township Precinct 2,Treasurer Bay County,,Write-ins,,2,2,0,0
Bay,Bangor Township Precinct 2,Register of Deeds Bay County,,Brandon D. Krause,DEM,832,331,402,99
Bay,Bangor Township Precinct 2,Register of Deeds Bay County,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 2,County Road Commissioner Bay County,,Michael J. Maillette,DEM,514,150,318,46
Bay,Bangor Township Precinct 2,County Road Commissioner Bay County,,Bill Schumacher,REP,818,417,261,140
Bay,Bangor Township Precinct 2,County Road Commissioner Bay County,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 2,Drain Commissioner Bay County,,Bill Jordan,DEM,473,130,300,43
Bay,Bangor Township Precinct 2,Drain Commissioner Bay County,,Michael Rivard,REP,855,441,273,141
Bay,Bangor Township Precinct 2,Drain Commissioner Bay County,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 2,County Commissioner County Commissioner District 02,,Kathie Marchlewski,DEM,492,138,317,37
Bay,Bangor Township Precinct 2,County Commissioner County Commissioner District 02,,Tim Banaszak,REP,844,432,260,152
Bay,Bangor Township Precinct 2,County Commissioner County Commissioner District 02,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 2,Supervisor Bangor Township,,Glenn Rowley,DEM,840,330,416,94
Bay,Bangor Township Precinct 2,Supervisor Bangor Township,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 2,Clerk Bangor Township,,Dawn Bublitz,DEM,848,324,427,97
Bay,Bangor Township Precinct 2,Clerk Bangor Township,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 2,Treasurer Bangor Township,,Karie Wardynski,DEM,840,321,420,99
Bay,Bangor Township Precinct 2,Treasurer Bangor Township,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 2,Trustee Bangor Township,,Floyd Sonny Willett,DEM,516,160,308,48
Bay,Bangor Township Precinct 2,Trustee Bangor Township,,Diane Yaworski,DEM,501,144,312,45
Bay,Bangor Township Precinct 2,Trustee Bangor Township,,Katie Caldwell,REP,828,403,289,136
Bay,Bangor Township Precinct 2,Trustee Bangor Township,,Tracy Gilles Koch,REP,865,401,319,145
Bay,Bangor Township Precinct 2,Trustee Bangor Township,,Brian Taylor,REP,773,369,266,138
Bay,Bangor Township Precinct 2,Trustee Bangor Township,,Bob Thomas,REP,739,361,251,127
Bay,Bangor Township Precinct 2,Trustee Bangor Township,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 2,Justice of Supreme Court Supreme Court,,Andrew Fink,,401,205,130,66
Bay,Bangor Township Precinct 2,Justice of Supreme Court Supreme Court,,Kimberly Ann Thomas,,635,222,344,69
Bay,Bangor Township Precinct 2,Justice of Supreme Court Supreme Court,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 2,Justice of Supreme Court Supreme Court,,Kyra Harris Bolden,,555,200,292,63
Bay,Bangor Township Precinct 2,Justice of Supreme Court Supreme Court,,Patrick William O'Grady,,467,219,175,73
Bay,Bangor Township Precinct 2,Justice of Supreme Court Supreme Court,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 2,Judge of Court of Appeals 4th District,,Stephen L. Borrello,,808,347,359,102
Bay,Bangor Township Precinct 2,Judge of Court of Appeals 4th District,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 2,Judge of Court of Appeals 4th District,,Allie Greenleaf Maldonado,,784,330,354,100
Bay,Bangor Township Precinct 2,Judge of Court of Appeals 4th District,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 2,Judge of Probate Court Bay County Probate Court,,Jan A. Miner,,848,355,384,109
Bay,Bangor Township Precinct 2,Judge of Probate Court Bay County Probate Court,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 2,Judge of District Court 74th District,,Timothy J. Kelly,,864,368,386,110
Bay,Bangor Township Precinct 2,Judge of District Court 74th District,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 2,Delta College Board of Trustees Member County of Bay Delta College,,Michael D. Rowley,,828,351,365,112
Bay,Bangor Township Precinct 2,Delta College Board of Trustees Member County of Bay Delta College,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 2,Delta College Board of Trustees Member County of Midland Delta College,,Stacey L. Gannon,,766,338,324,104
Bay,Bangor Township Precinct 2,Delta College Board of Trustees Member County of Midland Delta College,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 2,Delta College Board of Trustees Member County of Saginaw Delta College,,Alexis S. Thomas,,751,320,327,104
Bay,Bangor Township Precinct 2,Delta College Board of Trustees Member County of Saginaw Delta College,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 2,Local School District Board Member Bangor Township School District,,Greg Buzzard,,367,186,129,52
Bay,Bangor Township Precinct 2,Local School District Board Member Bangor Township School District,,Brian M. Gallagher,,568,225,256,87
Bay,Bangor Township Precinct 2,Local School District Board Member Bangor Township School District,,Matt Nemode,,459,176,226,57
Bay,Bangor Township Precinct 2,Local School District Board Member Bangor Township School District,,Mark Seymour,,429,158,224,47
Bay,Bangor Township Precinct 2,Local School District Board Member Bangor Township School District,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 2,Bay County Community Center Outdoor Public Pool Area Millage Bay County,,Yes,,673,301,287,85
Bay,Bangor Township Precinct 2,Bay County Community Center Outdoor Public Pool Area Millage Bay County,,No,,617,242,278,97
Bay,Bangor Township Precinct 2,Mosquito Control Millage Renewal Bay County,,Yes,,1056,420,493,143
Bay,Bangor Township Precinct 2,Mosquito Control Millage Renewal Bay County,,No,,246,129,77,40
Bay,Bangor Township Precinct 2,Bay Metropolitan Transportation Authority Millage Renewal Bay County,,Yes,,772,305,377,90
Bay,Bangor Township Precinct 2,Bay Metropolitan Transportation Authority Millage Renewal Bay County,,No,,514,241,183,90
Bay,Bangor Township Precinct 3,Registered Voters - Total,,,,2128,,,
Bay,Bangor Township Precinct 3,Ballots Cast - Total,,,,1421,595,562,264
Bay,Bangor Township Precinct 3,Ballots Cast - Blank,,,,0,0,0,0
Bay,Bangor Township Precinct 3,Straight Party Ticket,,Democrat,DEM,287,71,162,54
Bay,Bangor Township Precinct 3,Straight Party Ticket,,Republican,REP,406,179,121,106
Bay,Bangor Township Precinct 3,Straight Party Ticket,,Libertarian,LIB,1,1,0,0
Bay,Bangor Township Precinct 3,Straight Party Ticket,,U.S. Taxpayers,UST,1,1,0,0
Bay,Bangor Township Precinct 3,Straight Party Ticket,,Green,GRN,0,0,0,0
Bay,Bangor Township Precinct 3,Straight Party Ticket,,Working Class,WCP,8,8,0,0
