county,precinct,office,district,party,candidate,votes,election,early_voting,absentee
Eaton,"Benton Charter Township, Precinct 1",Straight Party Ticket,,REP,Republican Party,595,275,150,170
Eaton,"Brookfield Township, Precinct 1",Straight Party Ticket,,REP,Republican Party,329,181,70,78
Eaton,"Carmel Township, Precinct 1",Straight Party Ticket,,REP,Republican Party,583,214,235,134
Eaton,"Chester Township, Precinct 1",Straight Party Ticket,,REP,Republican Party,362,209,85,68
Eaton,"Delta Charter Township, Precinct 1",Straight Party Ticket,,REP,Republican Party,290,87,74,129
Eaton,"Delta Charter Township, Precinct 2",Straight Party Ticket,,REP,Republican Party,312,111,79,122
Eaton,"Delta Charter Township, Precinct 3",Straight Party Ticket,,REP,Republican Party,154,42,46,66
Eaton,"Delta Charter Township, Precinct 4",Straight Party Ticket,,REP,Republican Party,203,63,53,87
Eaton,"Delta Charter Township, Precinct 5",Straight Party Ticket,,REP,Republican Party,317,71,81,165
Eaton,"Delta Charter Township, Precinct 6",Straight Party Ticket,,REP,Republican Party,434,179,96,159
Eaton,"Delta Charter Township, Precinct 7",Straight Party Ticket,,REP,Republican Party,277,88,57,132
Eaton,"Delta Charter Township, Precinct 8",Straight Party Ticket,,REP,Republican Party,271,109,82,80
Eaton,"Delta Charter Township, Precinct 11",Straight Party Ticket,,REP,Republican Party,258,91,76,91
Eaton,"Delta Charter Township, Precinct 12",Straight Party Ticket,,REP,Republican Party,244,83,61,100
Eaton,"Delta Charter Township, Precinct 13",Straight Party Ticket,,REP,Republican Party,183,67,51,65
Eaton,"Delta Charter Township, Precinct 14",Straight Party Ticket,,REP,Republican Party,225,76,78,71
Eaton,"Delta Charter Township, Precinct 15",Straight Party Ticket,,REP,Republican Party,357,90,91,176
Eaton,"Delta Charter Township, Precinct 16",Straight Party Ticket,,REP,Republican Party,601,205,144,252
Eaton,"Eaton Township, Precinct 1",Straight Party Ticket,,REP,Republican Party,838,405,212,221
Eaton,"Eaton Rapids Township, Precinct 1",Straight Party Ticket,,REP,Republican Party,924,438,226,260
Eaton,"Hamlin Township, Precinct 1",Straight Party Ticket,,REP,Republican Party,702,411,146,145
Eaton,"Kalamo Township, Precinct 1",Straight Party Ticket,,REP,Republican Party,192,116,41,35
Eaton,"Kalamo Township, Precinct 2",Straight Party Ticket,,REP,Republican Party,226,150,34,42
Eaton,"Oneida Charter Township, Precinct 1",Straight Party Ticket,,REP,Republican Party,745,318,158,269
Eaton,"Roxand Township, Precinct 1",Straight Party Ticket,,REP,Republican Party,393,260,52,81
Eaton,"Sunfield Township, Precinct 1",Straight Party Ticket,,REP,Republican Party,517,343,64,110
Eaton,"Vermontville Township, Precinct 1",Straight Party Ticket,,REP,Republican Party,432,355,77,0
Eaton,"Walton Township, Precinct 1",Straight Party Ticket,,REP,Republican Party,516,273,156,87
Eaton,"Windsor Charter Township, Precinct 1",Straight Party Ticket,,REP,Republican Party,553,244,87,222
Eaton,"Windsor Charter Township, Precinct 2",Straight Party Ticket,,REP,Republican Party,379,156,77,146
Eaton,"Windsor Charter Township, Precinct 3",Straight Party Ticket,,REP,Republican Party,344,148,82,114
Eaton,"City of Charlotte, Dist. 1, Precinct 1",Straight Party Ticket,,REP,Republican Party,627,288,174,165
Eaton,"City of Charlotte, Dist. 2, Precinct 1",Straight Party Ticket,,REP,Republican Party,668,300,180,188
Eaton,"City of Eaton Rapids, Precinct 1",Straight Party Ticket,,REP,Republican Party,274,187,31,56
Eaton,"City of Eaton Rapids, Precinct 2",Straight Party Ticket,,REP,Republican Party,308,204,48,56
Eaton,"City of Eaton Rapids, Precinct 3",Straight Party Ticket,,REP,Republican Party,295,166,59,70
Eaton,"City of Grand Ledge, Precinct 1",Straight Party Ticket,,REP,Republican Party,353,215,50,88
Eaton,"City of Grand Ledge, Precinct 2",Straight Party Ticket,,REP,Republican Party,385,232,42,111
Eaton,"City of Grand Ledge, Precinct 3",Straight Party Ticket,,REP,Republican Party,229,107,32,90
Eaton,"City of Grand Ledge, Precinct 4",Straight Party Ticket,,REP,Republican Party,210,82,38,90
Eaton,"City of Olivet, Precinct 1",Straight Party Ticket,,REP,Republican Party,175,150,25,0
Eaton,"City of Potterville, Precinct 1",Straight Party Ticket,,REP,Republican Party,505,313,103,89
Eaton,"City of Lansing, 3-22",Straight Party Ticket,,REP,Republican Party,190,89,43,58
Eaton,"Bellevue Township, Precinct 1",Straight Party Ticket,,LIB,Libertarian Party,2,2,0,0
Eaton,"Benton Charter Township, Precinct 1",Straight Party Ticket,,LIB,Libertarian Party,2,2,0,0
Eaton,"Brookfield Township, Precinct 1",Straight Party Ticket,,LIB,Libertarian Party,1,1,0,0
Eaton,"Carmel Township, Precinct 1",Straight Party Ticket,,LIB,Libertarian Party,2,1,0,1
Eaton,"Chester Township, Precinct 1",Straight Party Ticket,,LIB,Libertarian Party,1,1,0,0
Eaton,"Delta Charter Township, Precinct 1",Straight Party Ticket,,LIB,Libertarian Party,3,2,1,0
Eaton,"Delta Charter Township, Precinct 2",Straight Party Ticket,,LIB,Libertarian Party,4,0,0,4
Eaton,"Delta Charter Township, Precinct 3",Straight Party Ticket,,LIB,Libertarian Party,1,0,1,0
Eaton,"Delta Charter Township, Precinct 4",Straight Party Ticket,,LIB,Libertarian Party,3,1,1,1
Eaton,"Delta Charter Township, Precinct 5",Straight Party Ticket,,LIB,Libertarian Party,4,0,1,3
Eaton,"Delta Charter Township, Precinct 6",Straight Party Ticket,,LIB,Libertarian Party,3,3,0,0
Eaton,"Delta Charter Township, Precinct 7",Straight Party Ticket,,LIB,Libertarian Party,5,2,1,2
Eaton,"Delta Charter Township, Precinct 8",Straight Party Ticket,,LIB,Libertarian Party,6,6,0,0
Eaton,"Delta Charter Township, Precinct 11",Straight Party Ticket,,LIB,Libertarian Party,3,3,0,0
Eaton,"Delta Charter Township, Precinct 12",Straight Party Ticket,,LIB,Libertarian Party,2,2,0,0
Eaton,"Delta Charter Township, Precinct 13",Straight Party Ticket,,LIB,Libertarian Party,0,0,0,0
Eaton,"Delta Charter Township, Precinct 14",Straight Party Ticket,,LIB,Libertarian Party,2,1,0,1
Eaton,"Delta Charter Township, Precinct 15",Straight Party Ticket,,LIB,Libertarian Party,5,1,1,3
Eaton,"Delta Charter Township, Precinct 16",Straight Party Ticket,,LIB,Libertarian Party,4,2,2,0
Eaton,"Eaton Township, Precinct 1",Straight Party Ticket,,LIB,Libertarian Party,7,7,0,0
Eaton,"Eaton Rapids Township, Precinct 1",Straight Party Ticket,,LIB,Libertarian Party,7,3,1,3
Eaton,"Hamlin Township, Precinct 1",Straight Party Ticket,,LIB,Libertarian Party,4,3,0,1
Eaton,"Kalamo Township, Precinct 1",Straight Party Ticket,,LIB,Libertarian Party,0,0,0,0
Eaton,"Kalamo Township, Precinct 2",Straight Party Ticket,,LIB,Libertarian Party,0,0,0,0
Eaton,"Oneida Charter Township, Precinct 1",Straight Party Ticket,,LIB,Libertarian Party,7,2,1,4
Eaton,"Roxand Township, Precinct 1",Straight Party Ticket,,LIB,Libertarian Party,6,5,0,1
Eaton,"Sunfield Township, Precinct 1",Straight Party Ticket,,LIB,Libertarian Party,3,2,0,1
Eaton,"Vermontville Township, Precinct 1",Straight Party Ticket,,LIB,Libertarian Party,4,4,0,0
Eaton,"Walton Township, Precinct 1",Straight Party Ticket,,LIB,Libertarian Party,2,1,0,1
Eaton,"Windsor Charter Township, Precinct 1",Straight Party Ticket,,LIB,Libertarian Party,4,4,0,0
Eaton,"Windsor Charter Township, Precinct 2",Straight Party Ticket,,LIB,Libertarian Party,2,1,0,1
Eaton,"Windsor Charter Township, Precinct 3",Straight Party Ticket,,LIB,Libertarian Party,4,0,2,2
Eaton,"City of Charlotte, Dist. 1, Precinct 1",Straight Party Ticket,,LIB,Libertarian Party,6,1,2,3
Eaton,"City of Charlotte, Dist. 2, Precinct 1",Straight Party Ticket,,LIB,Libertarian Party,4,3,0,1
Eaton,"City of Eaton Rapids, Precinct 1",Straight Party Ticket,,LIB,Libertarian Party,3,2,0,1
Eaton,"City of Eaton Rapids, Precinct 2",Straight Party Ticket,,LIB,Libertarian Party,2,1,1,0
Eaton,"City of Eaton Rapids, Precinct 3",Straight Party Ticket,,LIB,Libertarian Party,3,3,0,0
Eaton,"City of Grand Ledge, Precinct 1",Straight Party Ticket,,LIB,Libertarian Party,4,4,0,0
Eaton,"City of Grand Ledge, Precinct 2",Straight Party Ticket,,LIB,Libertarian Party,2,2,0,0
Eaton,"City of Grand Ledge, Precinct 3",Straight Party Ticket,,LIB,Libertarian Party,0,0,0,0
Eaton,"City of Grand Ledge, Precinct 4",Straight Party Ticket,,LIB,Libertarian Party,1,0,1,0
Eaton,"City of Olivet, Precinct 1",Straight Party Ticket,,LIB,Libertarian Party,3,3,0,0
Eaton,"City of Potterville, Precinct 1",Straight Party Ticket,,LIB,Libertarian Party,1,1,0,0
Eaton,"City of Lansing, 3-22",Straight Party Ticket,,LIB,Libertarian Party,1,1,0,0
Eaton,"Bellevue Township, Precinct 1",Straight Party Ticket,,UST,U.S. Taxpayers Party,1,0,0,1
Eaton,"Benton Charter Township, Precinct 1",Straight Party Ticket,,UST,U.S. Taxpayers Party,1,1,0,0
Eaton,"Brookfield Township, Precinct 1",Straight Party Ticket,,UST,U.S. Taxpayers Party,1,1,0,0
Eaton,"Carmel Township, Precinct 1",Straight Party Ticket,,UST,U.S. Taxpayers Party,3,1,1,1
Eaton,"Chester Township, Precinct 1",Straight Party Ticket,,UST,U.S. Taxpayers Party,1,0,0,1
Eaton,"Delta Charter Township, Precinct 1",Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Eaton,"Delta Charter Township, Precinct 2",Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Eaton,"Delta Charter Township, Precinct 3",Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Eaton,"Delta Charter Township, Precinct 4",Straight Party Ticket,,UST,U.S. Taxpayers Party,1,0,1,0
Eaton,"Delta Charter Township, Precinct 5",Straight Party Ticket,,UST,U.S. Taxpayers Party,1,1,0,0
Eaton,"Delta Charter Township, Precinct 6",Straight Party Ticket,,UST,U.S. Taxpayers Party,7,5,1,1
Eaton,"Delta Charter Township, Precinct 7",Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Eaton,"Delta Charter Township, Precinct 8",Straight Party Ticket,,UST,U.S. Taxpayers Party,2,1,1,0
Eaton,"Delta Charter Township, Precinct 11",Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Eaton,"Delta Charter Township, Precinct 12",Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Eaton,"Delta Charter Township, Precinct 13",Straight Party Ticket,,UST,U.S. Taxpayers Party,1,0,0,1
Eaton,"Delta Charter Township, Precinct 14",Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Eaton,"Delta Charter Township, Precinct 15",Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Eaton,"Delta Charter Township, Precinct 16",Straight Party Ticket,,UST,U.S. Taxpayers Party,6,3,2,1
Eaton,"Eaton Township, Precinct 1",Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Eaton,"Eaton Rapids Township, Precinct 1",Straight Party Ticket,,UST,U.S. Taxpayers Party,2,2,0,0
Eaton,"Hamlin Township, Precinct 1",Straight Party Ticket,,UST,U.S. Taxpayers Party,2,1,0,1
Eaton,"Kalamo Township, Precinct 1",Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Eaton,"Kalamo Township, Precinct 2",Straight Party Ticket,,UST,U.S. Taxpayers Party,1,0,0,1
Eaton,"Oneida Charter Township, Precinct 1",Straight Party Ticket,,UST,U.S. Taxpayers Party,2,2,0,0
Eaton,"Roxand Township, Precinct 1",Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Eaton,"Sunfield Township, Precinct 1",Straight Party Ticket,,UST,U.S. Taxpayers Party,3,3,0,0
Eaton,"Vermontville Township, Precinct 1",Straight Party Ticket,,UST,U.S. Taxpayers Party,2,2,0,0
Eaton,"Walton Township, Precinct 1",Straight Party Ticket,,UST,U.S. Taxpayers Party,3,2,0,1
Eaton,"Windsor Charter Township, Precinct 1",Straight Party Ticket,,UST,U.S. Taxpayers Party,1,1,0,0
Eaton,"Windsor Charter Township, Precinct 2",Straight Party Ticket,,UST,U.S. Taxpayers Party,1,0,1,0
Eaton,"Windsor Charter Township, Precinct 3",Straight Party Ticket,,UST,U.S. Taxpayers Party,4,3,0,1
Eaton,"City of Charlotte, Dist. 1, Precinct 1",Straight Party Ticket,,UST,U.S. Taxpayers Party,2,0,0,2
Eaton,"City of Charlotte, Dist. 2, Precinct 1",Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Eaton,"City of Eaton Rapids, Precinct 1",Straight Party Ticket,,UST,U.S. Taxpayers Party,1,1,0,0
Eaton,"City of Eaton Rapids, Precinct 2",Straight Party Ticket,,UST,U.S. Taxpayers Party,1,1,0,0
Eaton,"City of Eaton Rapids, Precinct 3",Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Eaton,"City of Grand Ledge, Precinct 1",Straight Party Ticket,,UST,U.S. Taxpayers Party,1,0,0,1
Eaton,"City of Grand Ledge, Precinct 2",Straight Party Ticket,,UST,U.S. Taxpayers Party,1,1,0,0
Eaton,"City of Grand Ledge, Precinct 3",Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Eaton,"City of Grand Ledge, Precinct 4",Straight Party Ticket,,UST,U.S. Taxpayers Party,2,1,0,1
Eaton,"City of Olivet, Precinct 1",Straight Party Ticket,,UST,U.S. Taxpayers Party,0,0,0,0
Eaton,"City of Potterville, Precinct 1",Straight Party Ticket,,UST,U.S. Taxpayers Party,2,2,0,0
Eaton,"City of Lansing, 3-22",Straight Party Ticket,,UST,U.S. Taxpayers Party,6,5,0,1
Eaton,"Bellevue Township, Precinct 1",Straight Party Ticket,,GRN,Green Party,0,0,0,0
Eaton,"Benton Charter Township, Precinct 1",Straight Party Ticket,,GRN,Green Party,0,0,0,0
Eaton,"Brookfield Township, Precinct 1",Straight Party Ticket,,GRN,Green Party,0,0,0,0
Eaton,"Carmel Township, Precinct 1",Straight Party Ticket,,GRN,Green Party,0,0,0,0
Eaton,"Chester Township, Precinct 1",Straight Party Ticket,,GRN,Green Party,0,0,0,0
Eaton,"Delta Charter Township, Precinct 1",Straight Party Ticket,,GRN,Green Party,0,0,0,0
Eaton,"Delta Charter Township, Precinct 2",Straight Party Ticket,,GRN,Green Party,0,0,0,0
Eaton,"Delta Charter Township, Precinct 3",Straight Party Ticket,,GRN,Green Party,5,2,1,2
Eaton,"Delta Charter Township, Precinct 4",Straight Party Ticket,,GRN,Green Party,1,1,0,0
Eaton,"Delta Charter Township, Precinct 5",Straight Party Ticket,,GRN,Green Party,2,2,0,0
Eaton,"Delta Charter Township, Precinct 6",Straight Party Ticket,,GRN,Green Party,6,5,0,1
Eaton,"Delta Charter Township, Precinct 7",Straight Party Ticket,,GRN,Green Party,4,3,0,1
Eaton,"Delta Charter Township, Precinct 8",Straight Party Ticket,,GRN,Green Party,4,3,0,1
Eaton,"Delta Charter Township, Precinct 11",Straight Party Ticket,,GRN,Green Party,3,2,0,1
Eaton,"Delta Charter Township, Precinct 12",Straight Party Ticket,,GRN,Green Party,3,2,1,0
Eaton,"Delta Charter Township, Precinct 13",Straight Party Ticket,,GRN,Green Party,1,1,0,0
Eaton,"Delta Charter Township, Precinct 14",Straight Party Ticket,,GRN,Green Party,0,0,0,0
Eaton,"Delta Charter Township, Precinct 15",Straight Party Ticket,,GRN,Green Party,2,0,0,2
Eaton,"Delta Charter Township, Precinct 16",Straight Party Ticket,,GRN,Green Party,4,1,0,3
Eaton,"Eaton Township, Precinct 1",Straight Party Ticket,,GRN,Green Party,1,1,0,0
Eaton,"Eaton Rapids Township, Precinct 1",Straight Party Ticket,,GRN,Green Party,2,2,0,0
Eaton,"Hamlin Township, Precinct 1",Straight Party Ticket,,GRN,Green Party,1,1,0,0
Eaton,"Kalamo Township, Precinct 1",Straight Party Ticket,,GRN,Green Party,0,0,0,0
Eaton,"Kalamo Township, Precinct 2",Straight Party Ticket,,GRN,Green Party,0,0,0,0
Eaton,"Oneida Charter Township, Precinct 1",Straight Party Ticket,,GRN,Green Party,0,0,0,0
Eaton,"Roxand Township, Precinct 1",Straight Party Ticket,,GRN,Green Party,0,0,0,0
Eaton,"Sunfield Township, Precinct 1",Straight Party Ticket,,GRN,Green Party,1,0,0,1
Eaton,"Vermontville Township, Precinct 1",Straight Party Ticket,,GRN,Green Party,2,2,0,0
Eaton,"Walton Township, Precinct 1",Straight Party Ticket,,GRN,Green Party,0,0,0,0
Eaton,"Windsor Charter Township, Precinct 1",Straight Party Ticket,,GRN,Green Party,3,3,0,0
Eaton,"Windsor Charter Township, Precinct 2",Straight Party Ticket,,GRN,Green Party,2,2,0,0
Eaton,"Windsor Charter Township, Precinct 3",Straight Party Ticket,,GRN,Green Party,2,2,0,0
Eaton,"City of Charlotte, Dist. 1, Precinct 1",Straight Party Ticket,,GRN,Green Party,3,1,1,1
Eaton,"City of Charlotte, Dist. 2, Precinct 1",Straight Party Ticket,,GRN,Green Party,2,1,0,1
Eaton,"City of Eaton Rapids, Precinct 1",Straight Party Ticket,,GRN,Green Party,1,1,0,0
Eaton,"City of Eaton Rapids, Precinct 2",Straight Party Ticket,,GRN,Green Party,0,0,0,0
Eaton,"City of Eaton Rapids, Precinct 3",Straight Party Ticket,,GRN,Green Party,1,0,0,1
Eaton,"City of Grand Ledge, Precinct 1",Straight Party Ticket,,GRN,Green Party,4,3,0,1
Eaton,"City of Grand Ledge, Precinct 2",Straight Party Ticket,,GRN,Green Party,3,3,0,0
Eaton,"City of Grand Ledge, Precinct 3",Straight Party Ticket,,GRN,Green Party,2,2,0,0
Eaton,"City of Grand Ledge, Precinct 4",Straight Party Ticket,,GRN,Green Party,0,0,0,0
Eaton,"City of Olivet, Precinct 1",Straight Party Ticket,,GRN,Green Party,0,0,0,0
Eaton,"City of Potterville, Precinct 1",Straight Party Ticket,,GRN,Green Party,3,3,0,0
Eaton,"City of Lansing, 3-22",Straight Party Ticket,,GRN,Green Party,3,3,0,0
Eaton,"Bellevue Township, Precinct 1",Straight Party Ticket,,WCP,Working Class Party,5,4,0,1
Eaton,"Benton Charter Township, Precinct 1",Straight Party Ticket,,WCP,Working Class Party,6,5,0,1
Eaton,"Brookfield Township, Precinct 1",Straight Party Ticket,,WCP,Working Class Party,3,3,0,0
Eaton,"Carmel Township, Precinct 1",Straight Party Ticket,,WCP,Working Class Party,7,4,1,2
Eaton,"Chester Township, Precinct 1",Straight Party Ticket,,WCP,Working Class Party,2,2,0,0
Eaton,"Delta Charter Township, Precinct 1",Straight Party Ticket,,WCP,Working Class Party,4,3,1,0
Eaton,"Delta Charter Township, Precinct 2",Straight Party Ticket,,WCP,Working Class Party,0,0,0,0
Eaton,"Delta Charter Township, Precinct 3",Straight Party Ticket,,WCP,Working Class Party,2,0,2,0
Eaton,"Delta Charter Township, Precinct 4",Straight Party Ticket,,WCP,Working Class Party,3,3,0,0
Eaton,"Delta Charter Township, Precinct 5",Straight Party Ticket,,WCP,Working Class Party,2,1,0,1
Eaton,"Delta Charter Township, Precinct 6",Straight Party Ticket,,WCP,Working Class Party,13,9,2,2
Eaton,"Delta Charter Township, Precinct 7",Straight Party Ticket,,WCP,Working Class Party,1,1,0,0
Eaton,"Delta Charter Township, Precinct 8",Straight Party Ticket,,WCP,Working Class Party,7,6,1,0
Eaton,"Delta Charter Township, Precinct 11",Straight Party Ticket,,WCP,Working Class Party,4,3,0,1
Eaton,"Delta Charter Township, Precinct 12",Straight Party Ticket,,WCP,Working Class Party,6,2,1,3
Eaton,"Delta Charter Township, Precinct 13",Straight Party Ticket,,WCP,Working Class Party,0,0,0,0
Eaton,"Delta Charter Township, Precinct 14",Straight Party Ticket,,WCP,Working Class Party,3,3,0,0
Eaton,"Delta Charter Township, Precinct 15",Straight Party Ticket,,WCP,Working Class Party,1,1,0,0
Eaton,"Delta Charter Township, Precinct 16",Straight Party Ticket,,WCP,Working Class Party,17,10,3,4
Eaton,"Eaton Township, Precinct 1",Straight Party Ticket,,WCP,Working Class Party,9,8,0,1
Eaton,"Eaton Rapids Township, Precinct 1",Straight Party Ticket,,WCP,Working Class Party,8,8,0,0
Eaton,"Hamlin Township, Precinct 1",Straight Party Ticket,,WCP,Working Class Party,6,6,0,0
Eaton,"Kalamo Township, Precinct 1",Straight Party Ticket,,WCP,Working Class Party,3,2,0,1
Eaton,"Kalamo Township, Precinct 2",Straight Party Ticket,,WCP,Working Class Party,2,2,0,0
Eaton,"Oneida Charter Township, Precinct 1",Straight Party Ticket,,WCP,Working Class Party,3,3,0,0
Eaton,"Roxand Township, Precinct 1",Straight Party Ticket,,WCP,Working Class Party,5,5,0,0
Eaton,"Sunfield Township, Precinct 1",Straight Party Ticket,,WCP,Working Class Party,5,5,0,0
Eaton,"Vermontville Township, Precinct 1",Straight Party Ticket,,WCP,Working Class Party,5,4,1,0
Eaton,"Walton Township, Precinct 1",Straight Party Ticket,,WCP,Working Class Party,2,1,0,1
Eaton,"Windsor Charter Township, Precinct 1",Straight Party Ticket,,WCP,Working Class Party,3,2,0,1
Eaton,"Windsor Charter Township, Precinct 2",Straight Party Ticket,,WCP,Working Class Party,3,3,0,0
Eaton,"Windsor Charter Township, Precinct 3",Straight Party Ticket,,WCP,Working Class Party,6,3,0,3
Eaton,"City of Charlotte, Dist. 1, Precinct 1",Straight Party Ticket,,WCP,Working Class Party,9,4,1,4
Eaton,"City of Charlotte, Dist. 2, Precinct 1",Straight Party Ticket,,WCP,Working Class Party,6,5,0,1
Eaton,"City of Eaton Rapids, Precinct 1",Straight Party Ticket,,WCP,Working Class Party,3,3,0,0
Eaton,"City of Eaton Rapids, Precinct 2",Straight Party Ticket,,WCP,Working Class Party,5,3,0,2
Eaton,"City of Eaton Rapids, Precinct 3",Straight Party Ticket,,WCP,Working Class Party,1,1,0,0
Eaton,"City of Grand Ledge, Precinct 1",Straight Party Ticket,,WCP,Working Class Party,2,2,0,0
Eaton,"City of Grand Ledge, Precinct 2",Straight Party Ticket,,WCP,Working Class Party,8,5,0,3
Eaton,"City of Grand Ledge, Precinct 3",Straight Party Ticket,,WCP,Working Class Party,6,4,1,1
Eaton,"City of Grand Ledge, Precinct 4",Straight Party Ticket,,WCP,Working Class Party,2,1,0,1
Eaton,"City of Olivet, Precinct 1",Straight Party Ticket,,WCP,Working Class Party,1,1,0,0
Eaton,"City of Potterville, Precinct 1",Straight Party Ticket,,WCP,Working Class Party,13,7,3,3
Eaton,"City of Lansing, 3-22",Straight Party Ticket,,WCP,Working Class Party,16,10,1,5
Eaton,"Bellevue Township, Precinct 1",Straight Party Ticket,,NLP,Natural Law Party,0,0,0,0
Eaton,"Benton Charter Township, Precinct 1",Straight Party Ticket,,NLP,Natural Law Party,0,0,0,0
