county,office,district,party,last,first,middle,suffix,votes
ARENAC,President of the United States 4 Year Term (1) Position,,NPA,Hoefling,Tom,,,0
ARENAC,President of the United States 4 Year Term (1) Position,,NPA,Kotlikoff,Laurence,,,0
ARENAC,President of the United States 4 Year Term (1) Position,,NPA,Maturen,Michael,A.,,0
ARENAC,President of the United States 4 Year Term (1) Position,,NPA,McMullin,Evan,,,3
ARENAC,President of the United States 4 Year Term (1) Position,,NPA,Moorehead,Monica,,,0
BARAGA,President of the United States 4 Year Term (1) Position,,REP,Trump,Donald,J.,,2158
BARAGA,President of the United States 4 Year Term (1) Position,,DEM,Clinton,Hillary,,,1156
BARAGA,President of the United States 4 Year Term (1) Position,,LIB,Johnson,Gary,,,106
BARAGA,President of the United States 4 Year Term (1) Position,,UST,Castle,Darrell,L.,,15
BARAGA,President of the United States 4 Year Term (1) Position,,GRN,Stein,Jill,,,49
BARAGA,President of the United States 4 Year Term (1) Position,,NLP,Soltysik,Emidio,Mimi,,2
BARAGA,President of the United States 4 Year Term (1) Position,,NPA,Fox,Cherunda,,,0
BARAGA,President of the United States 4 Year Term (1) Position,,NPA,Hartnell,Ben,,,0
BARAGA,President of the United States 4 Year Term (1) Position,,NPA,Hoefling,Tom,,,1
BARAGA,President of the United States 4 Year Term (1) Position,,NPA,Kotlikoff,Laurence,,,0
BARAGA,President of the United States 4 Year Term (1) Position,,NPA,Maturen,Michael,A.,,1
BARAGA,President of the United States 4 Year Term (1) Position,,NPA,McMullin,Evan,,,2
BARAGA,President of the United States 4 Year Term (1) Position,,NPA,Moorehead,Monica,,,0
BARRY,President of the United States 4 Year Term (1) Position,,REP,Trump,Donald,J.,,19202
BARRY,President of the United States 4 Year Term (1) Position,,DEM,Clinton,Hillary,,,9114
BARRY,President of the United States 4 Year Term (1) Position,,LIB,Johnson,Gary,,,1424
BARRY,President of the United States 4 Year Term (1) Position,,UST,Castle,Darrell,L.,,181
BARRY,President of the United States 4 Year Term (1) Position,,GRN,Stein,Jill,,,346
BARRY,President of the United States 4 Year Term (1) Position,,NLP,Soltysik,Emidio,Mimi,,10
BARRY,President of the United States 4 Year Term (1) Position,,NPA,Fox,Cherunda,,,0
BARRY,President of the United States 4 Year Term (1) Position,,NPA,Hartnell,Ben,,,0
BARRY,President of the United States 4 Year Term (1) Position,,NPA,Hoefling,Tom,,,2
BARRY,President of the United States 4 Year Term (1) Position,,NPA,Kotlikoff,Laurence,,,0
BARRY,President of the United States 4 Year Term (1) Position,,NPA,Maturen,Michael,A.,,0
BARRY,President of the United States 4 Year Term (1) Position,,NPA,McMullin,Evan,,,50
BARRY,President of the United States 4 Year Term (1) Position,,NPA,Moorehead,Monica,,,0
BAY,President of the United States 4 Year Term (1) Position,,REP,Trump,Donald,J.,,28328
BAY,President of the United States 4 Year Term (1) Position,,DEM,Clinton,Hillary,,,21642
BAY,President of the United States 4 Year Term (1) Position,,LIB,Johnson,Gary,,,2189
BAY,President of the United States 4 Year Term (1) Position,,UST,Castle,Darrell,L.,,208
BAY,President of the United States 4 Year Term (1) Position,,GRN,Stein,Jill,,,544
BAY,President of the United States 4 Year Term (1) Position,,NLP,Soltysik,Emidio,Mimi,,23
BAY,President of the United States 4 Year Term (1) Position,,NPA,Fox,Cherunda,,,0
BAY,President of the United States 4 Year Term (1) Position,,NPA,Hartnell,Ben,,,0
BAY,President of the United States 4 Year Term (1) Position,,NPA,Hoefling,Tom,,,1
BAY,President of the United States 4 Year Term (1) Position,,NPA,Kotlikoff,Laurence,,,0
BAY,President of the United States 4 Year Term (1) Position,,NPA,Maturen,Michael,A.,,2
BAY,President of the United States 4 Year Term (1) Position,,NPA,McMullin,Evan,,,40
BAY,President of the United States 4 Year Term (1) Position,,NPA,Moorehead,Monica,,,0
BENZIE,President of the United States 4 Year Term (1) Position,,REP,Trump,Donald,J.,,5539
BENZIE,President of the United States 4 Year Term (1) Position,,DEM,Clinton,Hillary,,,4108
BENZIE,President of the United States 4 Year Term (1) Position,,LIB,Johnson,Gary,,,382
BENZIE,President of the United States 4 Year Term (1) Position,,UST,Castle,Darrell,L.,,36
BENZIE,President of the United States 4 Year Term (1) Position,,GRN,Stein,Jill,,,149
BENZIE,President of the United States 4 Year Term (1) Position,,NLP,Soltysik,Emidio,Mimi,,7
BENZIE,President of the United States 4 Year Term (1) Position,,NPA,Fox,Cherunda,,,0
BENZIE,President of the United States 4 Year Term (1) Position,,NPA,Hartnell,Ben,,,0
BENZIE,President of the United States 4 Year Term (1) Position,,NPA,Hoefling,Tom,,,0
BENZIE,President of the United States 4 Year Term (1) Position,,NPA,Kotlikoff,Laurence,,,0
BENZIE,President of the United States 4 Year Term (1) Position,,NPA,Maturen,Michael,A.,,0
BENZIE,President of the United States 4 Year Term (1) Position,,NPA,McMullin,Evan,,,7
BENZIE,President of the United States 4 Year Term (1) Position,,NPA,Moorehead,Monica,,,0
BERRIEN,President of the United States 4 Year Term (1) Position,,REP,Trump,Donald,J.,,38647
BERRIEN,President of the United States 4 Year Term (1) Position,,DEM,Clinton,Hillary,,,29495
BERRIEN,President of the United States 4 Year Term (1) Position,,LIB,Johnson,Gary,,,2760
BERRIEN,President of the United States 4 Year Term (1) Position,,UST,Castle,Darrell,L.,,290
BERRIEN,President of the United States 4 Year Term (1) Position,,GRN,Stein,Jill,,,662
BERRIEN,President of the United States 4 Year Term (1) Position,,NLP,Soltysik,Emidio,Mimi,,28
BERRIEN,President of the United States 4 Year Term (1) Position,,NPA,Fox,Cherunda,,,0
BERRIEN,President of the United States 4 Year Term (1) Position,,NPA,Hartnell,Ben,,,1
BERRIEN,President of the United States 4 Year Term (1) Position,,NPA,Hoefling,Tom,,,2
BERRIEN,President of the United States 4 Year Term (1) Position,,NPA,Kotlikoff,Laurence,,,0
BERRIEN,President of the United States 4 Year Term (1) Position,,NPA,Maturen,Michael,A.,,6
BERRIEN,President of the United States 4 Year Term (1) Position,,NPA,McMullin,Evan,,,138
BERRIEN,President of the United States 4 Year Term (1) Position,,NPA,Moorehead,Monica,,,2
BRANCH,President of the United States 4 Year Term (1) Position,,REP,Trump,Donald,J.,,11786
BRANCH,President of the United States 4 Year Term (1) Position,,DEM,Clinton,Hillary,,,5061
BRANCH,President of the United States 4 Year Term (1) Position,,LIB,Johnson,Gary,,,582
BRANCH,President of the United States 4 Year Term (1) Position,,UST,Castle,Darrell,L.,,57
BRANCH,President of the United States 4 Year Term (1) Position,,GRN,Stein,Jill,,,151
BRANCH,President of the United States 4 Year Term (1) Position,,NLP,Soltysik,Emidio,Mimi,,4
BRANCH,President of the United States 4 Year Term (1) Position,,NPA,Fox,Cherunda,,,0
BRANCH,President of the United States 4 Year Term (1) Position,,NPA,Hartnell,Ben,,,0
BRANCH,President of the United States 4 Year Term (1) Position,,NPA,Hoefling,Tom,,,7
BRANCH,President of the United States 4 Year Term (1) Position,,NPA,Kotlikoff,Laurence,,,0
BRANCH,President of the United States 4 Year Term (1) Position,,NPA,Maturen,Michael,A.,,0
BRANCH,President of the United States 4 Year Term (1) Position,,NPA,McMullin,Evan,,,15
BRANCH,President of the United States 4 Year Term (1) Position,,NPA,Moorehead,Monica,,,0
CALHOUN,President of the United States 4 Year Term (1) Position,,REP,Trump,Donald,J.,,31494
CALHOUN,President of the United States 4 Year Term (1) Position,,DEM,Clinton,Hillary,,,24157
CALHOUN,President of the United States 4 Year Term (1) Position,,LIB,Johnson,Gary,,,2284
CALHOUN,President of the United States 4 Year Term (1) Position,,UST,Castle,Darrell,L.,,202
CALHOUN,President of the United States 4 Year Term (1) Position,,GRN,Stein,Jill,,,635
CALHOUN,President of the United States 4 Year Term (1) Position,,NLP,Soltysik,Emidio,Mimi,,29
CALHOUN,President of the United States 4 Year Term (1) Position,,NPA,Fox,Cherunda,,,0
CALHOUN,President of the United States 4 Year Term (1) Position,,NPA,Hartnell,Ben,,,0
CALHOUN,President of the United States 4 Year Term (1) Position,,NPA,Hoefling,Tom,,,2
CALHOUN,President of the United States 4 Year Term (1) Position,,NPA,Kotlikoff,Laurence,,,0
CALHOUN,President of the United States 4 Year Term (1) Position,,NPA,Maturen,Michael,A.,,4
CALHOUN,President of the United States 4 Year Term (1) Position,,NPA,McMullin,Evan,,,95
CALHOUN,President of the United States 4 Year Term (1) Position,,NPA,Moorehead,Monica,,,0
CASS,President of the United States 4 Year Term (1) Position,,REP,Trump,Donald,J.,,14243
CASS,President of the United States 4 Year Term (1) Position,,DEM,Clinton,Hillary,,,7270
CASS,President of the United States 4 Year Term (1) Position,,LIB,Johnson,Gary,,,753
CASS,President of the United States 4 Year Term (1) Position,,UST,Castle,Darrell,L.,,100
CASS,President of the United States 4 Year Term (1) Position,,GRN,Stein,Jill,,,199
CASS,President of the United States 4 Year Term (1) Position,,NLP,Soltysik,Emidio,Mimi,,9
CASS,President of the United States 4 Year Term (1) Position,,NPA,Fox,Cherunda,,,2
CASS,President of the United States 4 Year Term (1) Position,,NPA,Hartnell,Ben,,,0
CASS,President of the United States 4 Year Term (1) Position,,NPA,Hoefling,Tom,,,0
CASS,President of the United States 4 Year Term (1) Position,,NPA,Kotlikoff,Laurence,,,0
CASS,President of the United States 4 Year Term (1) Position,,NPA,Maturen,Michael,A.,,2
CASS,President of the United States 4 Year Term (1) Position,,NPA,McMullin,Evan,,,17
CASS,President of the United States 4 Year Term (1) Position,,NPA,Moorehead,Monica,,,0
CHARLEVOIX,President of the United States 4 Year Term (1) Position,,REP,Trump,Donald,J.,,8674
CHARLEVOIX,President of the United States 4 Year Term (1) Position,,DEM,Clinton,Hillary,,,5137
CHARLEVOIX,President of the United States 4 Year Term (1) Position,,LIB,Johnson,Gary,,,532
CHARLEVOIX,President of the United States 4 Year Term (1) Position,,UST,Castle,Darrell,L.,,34
CHARLEVOIX,President of the United States 4 Year Term (1) Position,,GRN,Stein,Jill,,,178
CHARLEVOIX,President of the United States 4 Year Term (1) Position,,NLP,Soltysik,Emidio,Mimi,,12
CHARLEVOIX,President of the United States 4 Year Term (1) Position,,NPA,Fox,Cherunda,,,0
CHARLEVOIX,President of the United States 4 Year Term (1) Position,,NPA,Hartnell,Ben,,,0
CHARLEVOIX,President of the United States 4 Year Term (1) Position,,NPA,Hoefling,Tom,,,0
CHARLEVOIX,President of the United States 4 Year Term (1) Position,,NPA,Kotlikoff,Laurence,,,0
CHARLEVOIX,President of the United States 4 Year Term (1) Position,,NPA,Maturen,Michael,A.,,0
CHARLEVOIX,President of the United States 4 Year Term (1) Position,,NPA,McMullin,Evan,,,22
CHARLEVOIX,President of the United States 4 Year Term (1) Position,,NPA,Moorehead,Monica,,,0
CHEBOYGAN,President of the United States 4 Year Term (1) Position,,REP,Trump,Donald,J.,,8683
CHEBOYGAN,President of the United States 4 Year Term (1) Position,,DEM,Clinton,Hillary,,,4302
CHEBOYGAN,President of the United States 4 Year Term (1) Position,,LIB,Johnson,Gary,,,463
CHEBOYGAN,President of the United States 4 Year Term (1) Position,,UST,Castle,Darrell,L.,,58
CHEBOYGAN,President of the United States 4 Year Term (1) Position,,GRN,Stein,Jill,,,140
CHEBOYGAN,President of the United States 4 Year Term (1) Position,,NLP,Soltysik,Emidio,Mimi,,4
CHEBOYGAN,President of the United States 4 Year Term (1) Position,,NPA,Fox,Cherunda,,,0
CHEBOYGAN,President of the United States 4 Year Term (1) Position,,NPA,Hartnell,Ben,,,0
CHEBOYGAN,President of the United States 4 Year Term (1) Position,,NPA,Hoefling,Tom,,,0
CHEBOYGAN,President of the United States 4 Year Term (1) Position,,NPA,Kotlikoff,Laurence,,,0
CHEBOYGAN,President of the United States 4 Year Term (1) Position,,NPA,Maturen,Michael,A.,,2
CHEBOYGAN,President of the United States 4 Year Term (1) Position,,NPA,McMullin,Evan,,,20
CHEBOYGAN,President of the United States 4 Year Term (1) Position,,NPA,Moorehead,Monica,,,0
CHIPPEWA,President of the United States 4 Year Term (1) Position,,REP,Trump,Donald,J.,,9122
CHIPPEWA,President of the United States 4 Year Term (1) Position,,DEM,Clinton,Hillary,,,5379
CHIPPEWA,President of the United States 4 Year Term (1) Position,,LIB,Johnson,Gary,,,583
CHIPPEWA,President of the United States 4 Year Term (1) Position,,UST,Castle,Darrell,L.,,105
CHIPPEWA,President of the United States 4 Year Term (1) Position,,GRN,Stein,Jill,,,243
CHIPPEWA,President of the United States 4 Year Term (1) Position,,NLP,Soltysik,Emidio,Mimi,,5
CHIPPEWA,President of the United States 4 Year Term (1) Position,,NPA,Fox,Cherunda,,,0
CHIPPEWA,President of the United States 4 Year Term (1) Position,,NPA,Hartnell,Ben,,,0
CHIPPEWA,President of the United States 4 Year Term (1) Position,,NPA,Hoefling,Tom,,,0
CHIPPEWA,President of the United States 4 Year Term (1) Position,,NPA,Kotlikoff,Laurence,,,0
CHIPPEWA,President of the United States 4 Year Term (1) Position,,NPA,Maturen,Michael,A.,,1
CHIPPEWA,President of the United States 4 Year Term (1) Position,,NPA,McMullin,Evan,,,18
CHIPPEWA,President of the United States 4 Year Term (1) Position,,NPA,Moorehead,Monica,,,0
CLARE,President of the United States 4 Year Term (1) Position,,REP,Trump,Donald,J.,,8505
CLARE,President of the United States 4 Year Term (1) Position,,DEM,Clinton,Hillary,,,4249
CLARE,President of the United States 4 Year Term (1) Position,,LIB,Johnson,Gary,,,435
CLARE,President of the United States 4 Year Term (1) Position,,UST,Castle,Darrell,L.,,67
CLARE,President of the United States 4 Year Term (1) Position,,GRN,Stein,Jill,,,120
CLARE,President of the United States 4 Year Term (1) Position,,NLP,Soltysik,Emidio,Mimi,,6
CLARE,President of the United States 4 Year Term (1) Position,,NPA,Fox,Cherunda,,,0
CLARE,President of the United States 4 Year Term (1) Position,,NPA,Hartnell,Ben,,,0
CLARE,President of the United States 4 Year Term (1) Position,,NPA,Hoefling,Tom,,,0
CLARE,President of the United States 4 Year Term (1) Position,,NPA,Kotlikoff,Laurence,,,0
CLARE,President of the United States 4 Year Term (1) Position,,NPA,Maturen,Michael,A.,,1
CLARE,President of the United States 4 Year Term (1) Position,,NPA,McMullin,Evan,,,6
CLARE,President of the United States 4 Year Term (1) Position,,NPA,Moorehead,Monica,,,0
CLINTON,President of the United States 4 Year Term (1) Position,,REP,Trump,Donald,J.,,21636
CLINTON,President of the United States 4 Year Term (1) Position,,DEM,Clinton,Hillary,,,16492
CLINTON,President of the United States 4 Year Term (1) Position,,LIB,Johnson,Gary,,,1886
CLINTON,President of the United States 4 Year Term (1) Position,,UST,Castle,Darrell,L.,,157
CLINTON,President of the United States 4 Year Term (1) Position,,GRN,Stein,Jill,,,379
CLINTON,President of the United States 4 Year Term (1) Position,,NLP,Soltysik,Emidio,Mimi,,18
CLINTON,President of the United States 4 Year Term (1) Position,,NPA,Fox,Cherunda,,,0
CLINTON,President of the United States 4 Year Term (1) Position,,NPA,Hartnell,Ben,,,4
CLINTON,President of the United States 4 Year Term (1) Position,,NPA,Hoefling,Tom,,,3
CLINTON,President of the United States 4 Year Term (1) Position,,NPA,Kotlikoff,Laurence,,,0
CLINTON,President of the United States 4 Year Term (1) Position,,NPA,Maturen,Michael,A.,,18
CLINTON,President of the United States 4 Year Term (1) Position,,NPA,McMullin,Evan,,,62
CLINTON,President of the United States 4 Year Term (1) Position,,NPA,Moorehead,Monica,,,0
CRAWFORD,President of the United States 4 Year Term (1) Position,,REP,Trump,Donald,J.,,4354
CRAWFORD,President of the United States 4 Year Term (1) Position,,DEM,Clinton,Hillary,,,2110
CRAWFORD,President of the United States 4 Year Term (1) Position,,LIB,Johnson,Gary,,,267
CRAWFORD,President of the United States 4 Year Term (1) Position,,UST,Castle,Darrell,L.,,34
CRAWFORD,President of the United States 4 Year Term (1) Position,,GRN,Stein,Jill,,,66
CRAWFORD,President of the United States 4 Year Term (1) Position,,NLP,Soltysik,Emidio,Mimi,,2
CRAWFORD,President of the United States 4 Year Term (1) Position,,NPA,Fox,Cherunda,,,0
CRAWFORD,President of the United States 4 Year Term (1) Position,,NPA,Hartnell,Ben,,,0
CRAWFORD,President of the United States 4 Year Term (1) Position,,NPA,Hoefling,Tom,,,0
CRAWFORD,President of the United States 4 Year Term (1) Position,,NPA,Kotlikoff,Laurence,,,0
CRAWFORD,President of the United States 4 Year Term (1) Position,,NPA,Maturen,Michael,A.,,1
CRAWFORD,President of the United States 4 Year Term (1) Position,,NPA,McMullin,Evan,,,10
CRAWFORD,President of the United States 4 Year Term (1) Position,,NPA,Moorehead,Monica,,,0
DELTA,President of the United States 4 Year Term (1) Position,,REP,Trump,Donald,J.,,11121
DELTA,President of the United States 4 Year Term (1) Position,,DEM,Clinton,Hillary,,,6436
DELTA,President of the United States 4 Year Term (1) Position,,LIB,Johnson,Gary,,,660
DELTA,President of the United States 4 Year Term (1) Position,,UST,Castle,Darrell,L.,,68
DELTA,President of the United States 4 Year Term (1) Position,,GRN,Stein,Jill,,,182
DELTA,President of the United States 4 Year Term (1) Position,,NLP,Soltysik,Emidio,Mimi,,14
DELTA,President of the United States 4 Year Term (1) Position,,NPA,Fox,Cherunda,,,0
DELTA,President of the United States 4 Year Term (1) Position,,NPA,Hartnell,Ben,,,0
DELTA,President of the United States 4 Year Term (1) Position,,NPA,Hoefling,Tom,,,0
DELTA,President of the United States 4 Year Term (1) Position,,NPA,Kotlikoff,Laurence,,,0
DELTA,President of the United States 4 Year Term (1) Position,,NPA,Maturen,Michael,A.,,0
DELTA,President of the United States 4 Year Term (1) Position,,NPA,McMullin,Evan,,,11
DELTA,President of the United States 4 Year Term (1) Position,,NPA,Moorehead,Monica,,,0
DICKINSON,President of the United States 4 Year Term (1) Position,,REP,Trump,Donald,J.,,8580
DICKINSON,President of the United States 4 Year Term (1) Position,,DEM,Clinton,Hillary,,,3923
DICKINSON,President of the United States 4 Year Term (1) Position,,LIB,Johnson,Gary,,,450
DICKINSON,President of the United States 4 Year Term (1) Position,,UST,Castle,Darrell,L.,,56
DICKINSON,President of the United States 4 Year Term (1) Position,,GRN,Stein,Jill,,,123
DICKINSON,President of the United States 4 Year Term (1) Position,,NLP,Soltysik,Emidio,Mimi,,8
DICKINSON,President of the United States 4 Year Term (1) Position,,NPA,Fox,Cherunda,,,0
DICKINSON,President of the United States 4 Year Term (1) Position,,NPA,Hartnell,Ben,,,0
DICKINSON,President of the United States 4 Year Term (1) Position,,NPA,Hoefling,Tom,,,0
DICKINSON,President of the United States 4 Year Term (1) Position,,NPA,Kotlikoff,Laurence,,,0
DICKINSON,President of the United States 4 Year Term (1) Position,,NPA,Maturen,Michael,A.,,0
DICKINSON,President of the United States 4 Year Term (1) Position,,NPA,McMullin,Evan,,,25
DICKINSON,President of the United States 4 Year Term (1) Position,,NPA,Moorehead,Monica,,,0
EATON,President of the United States 4 Year Term (1) Position,,REP,Trump,Donald,J.,,27609
EATON,President of the United States 4 Year Term (1) Position,,DEM,Clinton,Hillary,,,24938
EATON,President of the United States 4 Year Term (1) Position,,LIB,Johnson,Gary,,,2618
EATON,President of the United States 4 Year Term (1) Position,,UST,Castle,Darrell,L.,,302
EATON,President of the United States 4 Year Term (1) Position,,GRN,Stein,Jill,,,602
EATON,President of the United States 4 Year Term (1) Position,,NLP,Soltysik,Emidio,Mimi,,23
EATON,President of the United States 4 Year Term (1) Position,,NPA,Fox,Cherunda,,,0
EATON,President of the United States 4 Year Term (1) Position,,NPA,Hartnell,Ben,,,2
EATON,President of the United States 4 Year Term (1) Position,,NPA,Hoefling,Tom,,,7
EATON,President of the United States 4 Year Term (1) Position,,NPA,Kotlikoff,Laurence,,,1
EATON,President of the United States 4 Year Term (1) Position,,NPA,Maturen,Michael,A.,,2
EATON,President of the United States 4 Year Term (1) Position,,NPA,McMullin,Evan,,,117
EATON,President of the United States 4 Year Term (1) Position,,NPA,Moorehead,Monica,,,0
EMMET,President of the United States 4 Year Term (1) Position,,REP,Trump,Donald,J.,,10616
EMMET,President of the United States 4 Year Term (1) Position,,DEM,Clinton,Hillary,,,6972
EMMET,President of the United States 4 Year Term (1) Position,,LIB,Johnson,Gary,,,806
EMMET,President of the United States 4 Year Term (1) Position,,UST,Castle,Darrell,L.,,92
EMMET,President of the United States 4 Year Term (1) Position,,GRN,Stein,Jill,,,279
EMMET,President of the United States 4 Year Term (1) Position,,NLP,Soltysik,Emidio,Mimi,,9
EMMET,President of the United States 4 Year Term (1) Position,,NPA,Fox,Cherunda,,,0
EMMET,President of the United States 4 Year Term (1) Position,,NPA,Hartnell,Ben,,,0
EMMET,President of the United States 4 Year Term (1) Position,,NPA,Hoefling,Tom,,,0
EMMET,President of the United States 4 Year Term (1) Position,,NPA,Kotlikoff,Laurence,,,0
EMMET,President of the United States 4 Year Term (1) Position,,NPA,Maturen,Michael,A.,,1
EMMET,President of the United States 4 Year Term (1) Position,,NPA,McMullin,Evan,,,27
EMMET,President of the United States 4 Year Term (1) Position,,NPA,Moorehead,Monica,,,0
GENESEE,President of the United States 4 Year Term (1) Position,,REP,Trump,Donald,J.,,84175
GENESEE,President of the United States 4 Year Term (1) Position,,DEM,Clinton,Hillary,,,102751
GENESEE,President of the United States 4 Year Term (1) Position,,LIB,Johnson,Gary,,,6221
GENESEE,President of the United States 4 Year Term (1) Position,,UST,Castle,Darrell,L.,,703
GENESEE,President of the United States 4 Year Term (1) Position,,GRN,Stein,Jill,,,2193
GENESEE,President of the United States 4 Year Term (1) Position,,NLP,Soltysik,Emidio,Mimi,,100
