county,office,district,candidate,party,election_day,absentee,votes
Baraga,U.S. Senate,,Leonard Paul Gadzinski,,,,0
Baraga,U.S. Senate,,Unresolved Write-In,,,,4
Baraga,U.S. House,1,Dana Ferguson,DEM,,,1332
Baraga,U.S. House,1,Jack Bergman,REP,,,2595
Baraga,U.S. House,1,Ben Boren,LIB,,,56
Baraga,State House,110,Janet Metsa,DEM,,,1413
Baraga,State House,110,Gregory Markkanen,REP,,,2517
Baraga,State House,110,Rick Sauermilch,GRN,,,36
Wayne,Straight Party,,Democratic Party,DEM,123898,297088,420986
Wayne,Straight Party,,Republican Party,REP,72878,71354,144232
Wayne,Straight Party,,Libertarian Party,LIB,1544,1181,2725
Wayne,Straight Party,,U.S. Taxpayers Party,UST,705,644,1349
Wayne,Straight Party,,Working Class Party,WCP,1761,1262,3023
Wayne,Straight Party,,Green Party,GRN,634,641,1275
Wayne,Straight Party,,Natural Law Party,NLP,396,252,648
Wayne,,,Unresolved Write-In,,0,0,0
Wayne,President,,Joseph R. Biden Kamala D. Harris,DEM,171041,426129,597170
Wayne,President,,Donald J. Trump Michael R. Pence,REP,133238,131315,264553
Wayne,President,,Jo Jorgensen Jeremy Cohen,LIB,3305,3262,6567
Wayne,President,,Don Blankenship William Mohr,UST,472,616,1088
Wayne,President,,Howie Hawkins Angela Walker,GRN,1084,1379,2463
Wayne,President,,Rocky De La Fuente Darcy Richardson,NLP,269,273,542
Wayne,,,Unresolved Write-In,,996,639,1635
Wayne,U.S. Senate,,Gary Peters,DEM,167650,414717,582367
Wayne,U.S. Senate,,John James,REP,129299,130847,260146
Wayne,U.S. Senate,,Valerie L. Willis,UST,4352,6452,10804
Wayne,U.S. Senate,,Marcia Squier,GRN,2829,4050,6879
Wayne,U.S. Senate,,Doug Dern,NLP,1225,1398,2623
Wayne,U.S. Senate,,Unresolved Write-In,,711,416,1127
Wayne,U.S. House,11,Haley Stevens,DEM,16913,71884,88797
Wayne,U.S. House,11,Eric S. Esshaki,REP,30208,43304,73512
Wayne,U.S. House,11,Leonard Schwartz,LIB,1436,1867,3303
Wayne,U.S. House,11,Unresolved Write-In,,78,62,140
Wayne,U.S. House,12,Debbie Dingell,DEM,40931,95545,136476
Wayne,U.S. House,12,Jeff Jones,REP,50052,41705,91757
Wayne,U.S. House,12,Gary Walkowicz,WCP,4782,3468,8250
Wayne,U.S. House,12,Unresolved Write-In,,273,95,368
Wayne,U.S. House,13,Rashida Tlaib,DEM,72014,151191,223205
Wayne,U.S. House,13,David Dudenhoefer,REP,28768,24543,53311
Wayne,U.S. House,13,Articia Bomer,UST,1033,941,1974
Wayne,U.S. House,13,Sam Johnson,WCP,2854,2430,5284
Wayne,U.S. House,13,D. Etta Wilcoxon,GRN,893,1212,2105
Wayne,U.S. House,13,Unresolved Write-In,,450,199,649
Wayne,U.S. House,14,Brenda Lawrence,DEM,40660,100306,140966
Wayne,U.S. House,14,Robert Vance Patrick,REP,8703,12613,21316
Wayne,U.S. House,14,Lisa Lane Gioia,LIB,827,888,1715
Wayne,U.S. House,14,Philip Kolody,WCP,704,730,1434
Wayne,U.S. House,14,Clyde K. Shabazz,GRN,501,730,1231
Wayne,U.S. House,14,Unresolved Write-In,,175,97,272
Wayne,State House,1,Tenisha R. Yancey,DEM,9745,19997,29742
Wayne,State House,1,Latricia Ann Lanier,REP,3334,5362,8696
Wayne,State House,1,Gregory Creswell,LIB,378,408,786
Wayne,State House,1,Unresolved Write-In,,44,35,79
Wayne,State House,2,Joe Tate,DEM,7609,20587,28196
Wayne,State House,2,Mayra Rodriguez,REP,3737,5306,9043
Wayne,State House,2,DaNetta L. Simpson,,390,414,804
Wayne,State House,2,Unresolved Write-In,,37,23,60
Wayne,State House,3,Shri Thanedar,DEM,8691,19884,28575
Wayne,State House,3,Anita Vinson,REP,595,639,1234
Wayne,State House,3,Stephen Boyle,GRN,305,508,813
Wayne,State House,3,Unresolved Write-In,,57,40,97
Wayne,State House,4,Abraham Aiyash,DEM,8072,19191,27263
Wayne,State House,4,Howard Weathington,REP,813,923,1736
Wayne,State House,4,Linda Rayburn,WCP,472,551,1023
Wayne,State House,4,MD Rabbi Alam,,151,204,355
Wayne,State House,4,Unresolved Write-In,,48,38,86
Wayne,State House,4,Abraham Aiyash,DEM,8580,19799,28379
Wayne,State House,4,Unresolved Write-In,,189,136,325
Wayne,State House,5,Cynthia A. Johnson,DEM,6996,11662,18658
Wayne,State House,5,Harold M. Day,REP,779,538,1317
Wayne,State House,5,Unresolved Write-In,,43,8,51
Wayne,State House,6,Tyrone Carter,DEM,8321,19840,28161
Wayne,State House,6,Unresolved Write-In,,267,99,366
Wayne,State House,7,Helena Scott,DEM,9694,22789,32483
Wayne,State House,7,Ronald Cole,REP,389,402,791
Wayne,State House,7,Kimberly Givens,WCP,600,624,1224
Wayne,State House,7,Anita Belle,GRN,196,224,420
Wayne,State House,7,Unresolved Write-In,,49,24,73
Wayne,State House,8,Stephanie A. Young,DEM,10564,25381,35945
Wayne,State House,8,Miroslawa Teresa Gorak,REP,567,643,1210
Wayne,State House,8,Unresolved Write-In,,57,35,92
Wayne,State House,9,Karen Whitsett,DEM,10532,18515,29047
Wayne,State House,9,James Stephens,REP,941,853,1794
Wayne,State House,9,Unresolved Write-In,,83,29,112
Wayne,State House,10,Mary Cavanagh,DEM,12185,25959,38144
Wayne,State House,10,Cathy L. Alcorn,REP,3943,2920,6863
Wayne,State House,10,Unresolved Write-In,,100,62,162
Wayne,State House,11,Jewell Jones,DEM,9195,18987,28182
Wayne,State House,11,James C. Townsend,REP,8334,6696,15030
Wayne,State House,11,Unresolved Write-In,,123,92,215
Wayne,State House,12,Alex Garza,DEM,8480,18820,27300
Wayne,State House,12,Michelle Bailey,REP,9513,6975,16488
Wayne,State House,12,Unresolved Write-In,,117,42,159
Wayne,State House,13,Tullio Liberati,DEM,8311,18409,26720
Wayne,State House,13,Megan Frump,REP,10726,8630,19356
Wayne,State House,13,Unresolved Write-In,,128,75,203
Wayne,State House,14,Cara A. Clemente,DEM,7003,16093,23096
Wayne,State House,14,Darrell Stasik,REP,8995,6734,15729
Wayne,State House,14,Simone R. Coleman,WCP,1122,815,1937
Wayne,State House,14,Unresolved Write-In,,81,29,110
Wayne,State House,15,Abdullah Hammoud,DEM,11321,17041,28362
Wayne,State House,15,Carla O'Neill,REP,5746,5160,10906
Wayne,State House,15,Larry Darnell Betts,WCP,482,488,970
Wayne,State House,15,Unresolved Write-In,,52,0,52
Wayne,State House,16,Kevin Coleman,DEM,8305,19920,28225
Wayne,State House,16,Emily Bauman,REP,9102,7835,16937
Wayne,State House,16,Unresolved Write-In,,106,59,165
Wayne,State House,17,Christopher Slat,DEM,1553,3478,5031
Wayne,State House,17,"Joe Bellino, Jr.",REP,4260,2671,6931
Wayne,State House,17,Unresolved Write-In,,36,18,54
Wayne,State House,19,Laurie Pohutsky,DEM,5903,23549,29452
Wayne,State House,19,Martha Ptashnik,REP,13271,15944,29215
Wayne,State House,19,Unresolved Write-In,,57,56,113
Wayne,State House,21,Ranjeev Puri,DEM,6816,27468,34284
Wayne,State House,21,Laurel Hess,REP,9630,14052,23682
Wayne,State House,21,Unresolved Write-In,,55,81,136
Wayne,State House,20,Matt Koleszar,DEM,6137,26897,33034
Wayne,State House,20,John Lacny,REP,10259,16672,26931
Wayne,State House,20,Unresolved Write-In,,44,21,65
Wayne,State House,23,Darrin Camilleri,DEM,7861,22370,30231
Wayne,State House,23,John Poe,REP,13807,13493,27300
Wayne,State House,23,Unresolved Write-In,,62,35,97
Washtenaw,Straight Party,,Democratic Party,DEM,16348,70907,87255
Washtenaw,Straight Party,,Republican Party,REP,15305,16026,31331
Washtenaw,Straight Party,,Libertarian Party,LIB,263,283,546
Washtenaw,Straight Party,,U.S. Taxpayers Party,UST,44,58,102
Washtenaw,Straight Party,,Working Class Party,WCP,174,128,302
Washtenaw,Straight Party,,Green Party,GRN,105,184,289
Washtenaw,Straight Party,,Natural Law Party,NLP,37,24,61
Washtenaw,President,,Joseph R. Biden Kamala D. Harris,DEM,31204,125932,157136
Washtenaw,President,,Donald J. Trump Michael R. Pence,REP,28386,27855,56241
Washtenaw,President,,Jo Jorgensen Jeremy Cohen,LIB,885,1071,1956
Washtenaw,President,,Don Blankenship William Mohr,UST,62,133,195
Washtenaw,President,,Howie Hawkins Angela Walker,GRN,237,414,651
Washtenaw,President,,Rocky De La Fuente Darcy Richardson,NLP,47,54,101
Washtenaw,President,,Brian T. Carroll,,40,88,128
Washtenaw,President,,Jade Simmons,,6,4,10
Washtenaw,President,,Kasey Wells,,0,0,0
Washtenaw,President,,Tara Renee Hunter,,0,0,0
Washtenaw,President,,Tom Hoefling,,0,0,0
Washtenaw,,,Rejected write-ins,,201,312,513
Washtenaw,President,,Unassigned write-ins,,0,0,0
Washtenaw,U.S. Senate,,Gary Peters,DEM,29825,120704,150529
Washtenaw,U.S. Senate,,John James,REP,29376,31369,60745
Washtenaw,U.S. Senate,,Valerie L. Willis,UST,461,766,1227
Washtenaw,U.S. Senate,,Marcia Squier,GRN,647,1315,1962
Washtenaw,U.S. Senate,,Doug Dern,NLP,145,180,325
Washtenaw,U.S. Senate,,Leonard Paul Gadzinski (Write-in),,0,0,0
Washtenaw,U.S. Senate,,Robert William Carr (Write-in),,1,0,1
Washtenaw,U.S. Senate,,Rejected write-ins,,37,50,87
Washtenaw,U.S. Senate,,Unassigned write-ins,,0,0,0
Washtenaw,U.S. House,7,Gretchen D. Driskell,,10845,23862,34707
Washtenaw,U.S. House,7,Tim Walberg,,17483,13439,30922
Washtenaw,U.S. House,7,Rejected write-ins,,20,25,45
Washtenaw,U.S. House,7,Unassigned write-ins,,0,0,0
Washtenaw,U.S. House,12,Debbie Dingell,,19816,98665,118481
Washtenaw,U.S. House,12,Jeff Jones,,10422,15540,25962
Washtenaw,U.S. House,12,Gary Walkowicz,,1206,1691,2897
Washtenaw,U.S. House,12,Rejected write-ins,,42,71,113
Washtenaw,U.S. House,12,Unassigned write-ins,,0,0,0
Washtenaw,State House,52,Donna Lasinski,,10286,25699,35985
Washtenaw,State House,52,Greg Marquis,,14176,10846,25022
Washtenaw,State House,52,Rejected write-ins,,34,25,59
Washtenaw,State House,52,Unassigned write-ins,,0,0,0
Washtenaw,State House,53,Yousef Rabhi,,6031,36493,42524
Washtenaw,State House,53,Jean E. Holland,,2410,4026,6436
Washtenaw,State House,53,Rejected write-ins,,18,30,48
Washtenaw,State House,53,Unassigned write-ins,,0,0,0
Washtenaw,State House,54,Ronnie Dean Peterson,,8718,27815,36533
Washtenaw,State House,54,Martin A. Church,,4860,5604,10464
Washtenaw,State House,54,Rejected write-ins,,46,60,106
Washtenaw,State House,54,Unassigned write-ins,,0,0,0
Washtenaw,State House,55,Felicia Brabec,,5828,31290,37118
Washtenaw,State House,55,Bob Baird,,6023,8147,14170
Washtenaw,State House,55,Rejected write-ins,,19,33,52
Washtenaw,State House,55,Unassigned write-ins,,0,0,0
Hillsdale,Straight Party,,Democratic Party,DEM,,,3029
Hillsdale,Straight Party,,Republican Party,REP,,,10691
Hillsdale,Straight Party,,Libertarian Party,LIB,,,72
Hillsdale,Straight Party,,U.S. Taxpayers Party,UST,,,18
Hillsdale,Straight Party,,Working Class Party,WCP,,,65
Hillsdale,Straight Party,,Green Party,GRN,,,18
Hillsdale,Straight Party,,Natural Law Party,NLP,,,6
Hillsdale,President,,Joseph R. Biden Kamala D. Harris,DEM,,,5883
Hillsdale,President,,Donald J. Trump Michael R. Pence,REP,,,17037
Hillsdale,President,,Jo Jorgensen Jeremy Cohen,LIB,,,261
Hillsdale,President,,Don Blankenship William Mohr,UST,,,38
Hillsdale,President,,Howie Hawkins Angela Walker,GRN,,,56
Hillsdale,President,,Rocky De La Fuente Darcy Richardson,NLP,,,13
Hillsdale,President,,Brian T. Carroll (W),W,,,14
Hillsdale,President,,Jade Simmons (W),W,,,0
Hillsdale,President,,Kasey Wells (W),W,,,0
Hillsdale,President,,Tara Renee Hunter (W),W,,,0
Hillsdale,President,,Tom Hoefling (W),W,,,0
Hillsdale,U.S. Senate,,Gary Peters,DEM,,,6237
Hillsdale,U.S. Senate,,John James,REP,,,16227
Hillsdale,U.S. Senate,,Valerie L. Willis,UST,,,251
Hillsdale,U.S. Senate,,Marcia Squier,GRN,,,154
Hillsdale,U.S. Senate,,Doug Dern,NLP,,,73
Hillsdale,U.S. Senate,,Leonard Paul Gadzinski (W),W,,,0
Hillsdale,U.S. Senate,,Robert William Carr (W),W,,,0
Hillsdale,U.S. House,7,Gretchen D. Driskell,DEM,,,5560
Hillsdale,U.S. House,7,Tim Walberg,REP,,,17280
Hillsdale,State House,58,Tamara C. Barnes,DEM,,,5823
Hillsdale,State House,58,Andrew Fink,REP,,,16602
Osceola,Straight Party,,Democratic Party,DEM,,,1619
Osceola,Straight Party,,Republican Party,REP,,,5960
Osceola,Straight Party,,Libertarian Party,LIB,,,40
Osceola,Straight Party,,U.S. Taxpayers Party,UST,,,7
Osceola,Straight Party,,Working Class Party,WCP,,,41
Osceola,Straight Party,,Green Party,GRN,,,8
Osceola,Straight Party,,Natural Law Party,NLP,,,7
Osceola,President,,Joseph R. Biden/Kamala D. Harris,DEM,,,3214
Osceola,President,,Donald J. Trump/Michael R. Pence,REP,,,8928
Osceola,President,,Jo Jorgensen/Jeremy Cohen,LIB,,,135
Osceola,President,,Don Blankenship/William Mohr,UST,,,21
Osceola,President,,Howie Hawkins/Angela Walker,GRN,,,28
Osceola,President,,Rocky De La Fuente/Darcy Richardson,NLP,,,3
Osceola,President,,Unresolved write-ins,,,,11
Osceola,U.S. Senate,,Gary Peters,DEM,,,3226
Osceola,U.S. Senate,,John James,REP,,,8808
Osceola,U.S. Senate,,Valerie L. Willis,UST,,,102
Osceola,U.S. Senate,,Marcia Squier,GRN,,,52
Osceola,U.S. Senate,,Doug Dern,NLP,,,35
Osceola,U.S. Senate,,Unresolved write-ins,,,,12
Osceola,U.S. House,4,Jerry Hilliard,DEM,,,2757
Osceola,U.S. House,4,John Moolenaar,REP,,,9059
Osceola,U.S. House,4,David Canny,LIB,,,184
Osceola,U.S. House,4,Amy Slepr,GRN,,,124
Osceola,U.S. House,4,Unresolved write-ins,,,,16
Osceola,State House,97,Celia Young-Wenkel,DEM,,,1505
Osceola,State House,97,Jason Wentworth,REP,,,4742
Osceola,State House,97,Unresolved write-ins,,,,24
Osceola,State House,102,Amanda Siggins,DEM,,,1370
Osceola,State House,102,Michele Hoitenga,REP,,,4336
Osceola,State House,102,Unresolved write-ins,,,,23
Macomb,Straight Party,,Republican Party,REP,,,148793
Macomb,Straight Party,,Democratic Party,DEM,,,133359
Macomb,Straight Party,,Libertarian Party,LIB,,,1865
Macomb,Straight Party,,Working Class Party,WC,,,1583
Macomb,Straight Party,,Green Party,GRN,,,645
Macomb,Straight Party,,U.S. Taxpayers Party,UST,,,500
Macomb,Straight Party,,Natural Law Party,NLP,,,253
Macomb,President,,Donald J. Trump,REP,,,263863
Macomb,President,,Joseph R. Biden,DEM,,,223952
Macomb,President,,Jo Jorgensen,LIB,,,4462
Macomb,President,,Howie Hawkins,GRN,,,1149
Macomb,President,,Don Blankenship,UST,,,551
Macomb,President,,Rocky De La Fuente,NLP,,,242
Macomb,U.S. Senate,,John James,REP,,,252052
Macomb,U.S. Senate,,Gary Peters,DEM,,,224448
Macomb,U.S. Senate,,Valerie L. Willis,UST,,,5111
Macomb,U.S. Senate,,Marcia Squier,GRN,,,3532
Macomb,U.S. Senate,,Doug Dern,NLP,,,1334
Macomb,U.S. House,9,Andy Levin,DEM,,,144980
Macomb,U.S. House,9,Charles J. Langworthy,REP,,,108719
Macomb,U.S. House,9,Andrea L. Kirby,WC,,,7047
Macomb,U.S. House,9,Mike Saliba,LIB,,,4394
Macomb,U.S. House,10,Lisa McClain,REP,,,135820
Macomb,U.S. House,10,Kimberly Bizon,DEM,,,76257
Macomb,State House,18,Kevin Hertel,DEM,,,32569
Macomb,State House,18,Michael Babat,REP,,,21462
Macomb,State House,22,Richard M. Steenland,DEM,,,24954
Macomb,State House,22,Steven G. Warner,REP,,,16701
Macomb,State House,24,Steve Marino,REP,,,29394
Macomb,State House,24,Michelle Woodman,DEM,,,21692
Macomb,State House,25,Nate Shannon,DEM,,,25239
Macomb,State House,25,Paul M Smith,REP,,,22509
Macomb,State House,28,Lori M. Stone,DEM,,,24585
Macomb,State House,28,Stephen Colegio,REP,,,15329
Macomb,State House,28,Frederick Horndt,LIB,,,859
Macomb,State House,30,Diana Farrington,REP,,,28199
Macomb,State House,30,Michael A. Chehab,DEM,,,17016
Macomb,State House,31,William J. Sowerby,DEM,,,26202
Macomb,State House,31,Lisa Valerio-Nowc,REP,,,20364
Macomb,State House,32,Pamela Hornberger,REP,,,20634
Macomb,State House,32,Justin Boucher,DEM,,,12150
Macomb,State House,33,Jeff Yaroch,REP,,,39429
Macomb,State House,33,Olu Jabari,DEM,,,16538
Macomb,State House,36,Douglas C. Wozniak,REP,,,37945
Macomb,State House,36,Robert Murphy,DEM,,,17299
Mackinac,Straight Party,,Democratic Party,DEM,,,1164
Mackinac,Straight Party,,Republican Party,REP,,,2296
Mackinac,Straight Party,,Libertarian Party,LIB,,,37
Mackinac,Straight Party,,U.S. Taxpayers Party,UST,,,7
Mackinac,Straight Party,,Working Class Party,WCP,,,21
Mackinac,Straight Party,,Green Party,GRN,,,7
Mackinac,Straight Party,,Natural Law Party,NLP,,,3
Mackinac,Straight Party,,Unresolved write-ins,,,,0
Mackinac,President,,Joseph R. Biden,DEM,,,2632
Mackinac,President,,Donald J. Trump,REP,,,4304
Mackinac,President,,Jo Jorgensen,LIB,,,56
Mackinac,President,,Don Blankenship,UST,,,8
Mackinac,President,,Howie Hawkins,GRN,,,13
Mackinac,President,,Rocky De La Fuente,NLP,,,2
Mackinac,President,,Brian T. Carroll,,,,0
Mackinac,President,,Tom Hoefling,,,,0
Mackinac,President,,Tara Renee Hunter,,,,0
Mackinac,President,,Jade Simmons,,,,0
Mackinac,President,,Kasey Wells,,,,0
Mackinac,President,,Unresolved Write-In,,,,10
Mackinac,U.S. Senate,,Gary Peters,DEM,,,2638
Mackinac,U.S. Senate,,John James,REP,,,4263
Mackinac,U.S. Senate,,Valerie L. Willis,UST,,,43
Mackinac,U.S. Senate,,Marcia Squier,GRN,,,33
Mackinac,U.S. Senate,,Doug Dern,NLP,,,8
Mackinac,U.S. Senate,,Robert William Carr,,,,0
Mackinac,U.S. Senate,,Leonard Paul Gadzinski,,,,0
Mackinac,U.S. Senate,,Unresolved Write-In,,,,7
Mackinac,U.S. House,1,Dana Ferguson,DEM,,,2294
Mackinac,U.S. House,1,Jack Bergman,REP,,,4551
Mackinac,U.S. House,1,Ben Boren,LIB,,,92
Mackinac,U.S. House,1,Unresolved Write-In,,,,7
Mackinac,State House,107,Jim Page,DEM,,,2509
Mackinac,State House,107,John N. Damoose,REP,,,4271
Mackinac,State House,107,Unresolved Write-In,,,,23
Luce,Straight Party,,Democratic Party,DEM,,,345
Luce,Straight Party,,Republican Party,REP,,,1258
Luce,Straight Party,,Libertarian Party,LIB,,,10
Luce,Straight Party,,U.S. Taxpayers Party,UST,,,9
Luce,Straight Party,,Working Class Party,WCP,,,15
Luce,Straight Party,,Green Party,GRN,,,2
Luce,Straight Party,,Natural Law Party,NLP,,,2
Luce,President,,Joseph R. Biden,DEM,,,842
Luce,President,,Donald J. Trump,REP,,,2109
Luce,President,,Jo Jorgensen,LIB,,,27
Luce,President,,Don Blankenship,UST,,,11
Luce,President,,Howie Hawkins,GRN,,,8
Luce,President,,Rocky De La Fuente,NLP,,,4
Luce,President,,WRITE-IN,,,,6
Luce,U.S. Senate,,Gary Peters,DEM,,,855
Luce,U.S. Senate,,John James,REP,,,2070
Luce,U.S. Senate,,Valerie L. Willis,UST,,,23
Luce,U.S. Senate,,Marcia Squier,GRN,,,16
Luce,U.S. Senate,,Doug Dern,NLP,,,11
Luce,U.S. Senate,,WRITE-IN,,,,1
Luce,U.S. House,1,Dana Ferguson,DEM,,,739
Luce,U.S. House,1,Jack Bergman,REP,,,2181
Luce,U.S. House,1,Ben Boren,LIB,,,43
Luce,U.S. House,1,WRITE-IN,,,,1
Luce,State House,109,Sara Cambensy,DEM,,,834
Luce,State House,109,Melody Wagner,REP,,,2008
Luce,State House,109,Jim Hafeman,UST,,,57
Luce,State House,109,WRITE-IN,,,,7
Livingston,Straight Party,,Democratic Party,DEM,4851,18174,23025
Livingston,Straight Party,,Republican Party,REP,22969,23881,46850
Livingston,Straight Party,,Libertarian Party,LIB,193,179,372
Livingston,Straight Party,,U.S. Taxpayers Party,UST,32,27,59
Livingston,Straight Party,,Working Class Party,WCP,123,70,193
Livingston,Straight Party,,Green Party,GRN,54,67,121
Livingston,Straight Party,,Natural Law Party,NLP,16,10,26
Livingston,President,,Joseph R. Biden,DEM,10714,37506,48220
Livingston,President,,Donald J. Trump,REP,39225,37757,76982
Livingston,President,,Jo Jorgensen,LIB,696,815,1511
Livingston,President,,Don Blankenship,UST,37,96,133
Livingston,President,,Howie Hawkins,GRN,101,162,263
Livingston,President,,Rocky De La Fuente,NLP,19,38,57
Livingston,President,,Brian T. Carroll (W),,11,16,27
Livingston,President,,Jade Simmons (W),,3,0,3
Livingston,President,,Kasey Wells (W),,0,0,0
Livingston,President,,Tara Renee Hunter (W),,0,0,0
Livingston,President,,Tom Hoefling (W),,1,0,1
Livingston,U.S. Senate,,Gary Peters,DEM,10484,35634,46118
Livingston,U.S. Senate,,John James,REP,39056,38746,77802
Livingston,U.S. Senate,,Valerie L. Willis,UST,298,547,845
Livingston,U.S. Senate,,Marcia Squier,GRN,277,425,702
Livingston,U.S. Senate,,Doug Dern,NLP,108,142,250
Livingston,U.S. Senate,,Leonard Paul Gadzinski (W),,0,0,0
Livingston,U.S. Senate,,Robert William Carr (W),,0,0,0
Livingston,U.S. House,8,Elissa Slotkin,DEM,11889,38181,50070
Livingston,U.S. House,8,Paul Junge,REP,36676,35914,72590
Livingston,U.S. House,8,Joe Hartman,LIB,1285,1051,2336
Livingston,State House,42,Donnie Bettes,DEM,4370,18753,23123
Livingston,State House,42,Ann Bollin,REP,17293,22437,39730
Livingston,State House,47,Adam Smiddy,DEM,5122,13285,18407
Livingston,State House,47,Robert J. Bezotte,REP,21907,18542,40449
LAPEER,Straight Party,,Democratic Party,DEM,,,8133
LAPEER,Straight Party,,Republican Party,REP,,,20855
LAPEER,Straight Party,,Libertarian Party,LIB,,,161
LAPEER,Straight Party,,U.S. Taxpayers Party,UST,,,39
LAPEER,Straight Party,,Working Class Party,WCP,,,141
LAPEER,Straight Party,,Green Party,GRN,,,53
LAPEER,Straight Party,,Natural Law Party,NLP,,,23
LAPEER,President,,Joseph R. Biden,DEM,,,16367
LAPEER,President,,Donald J. Trump,REP,,,35482
LAPEER,President,,Jo Jorgensen,LIB,,,573
LAPEER,President,,Don Blankenship,UST,,,78
LAPEER,President,,Howie Hawkins,GRN,,,113
LAPEER,President,,Rocky De La Fuente,NLP,,,27
LAPEER,President,,Write-in,,,,92
LAPEER,President,,Brian T. Carroll (W),,,,8
LAPEER,President,,Tom Hoefling (W),,,,2
LAPEER,U.S. Senate,,Gary Peters,DEM,,,16590
LAPEER,U.S. Senate,,John James,REP,,,34340
LAPEER,U.S. Senate,,Valerie L. Willis,UST,,,581
LAPEER,U.S. Senate,,Marcia Squier,GRN,,,283
LAPEER,U.S. Senate,,Doug Dern,NLP,,,143
LAPEER,U.S. Senate,,WRITE-IN,,,,48
LAPEER,U.S. House,10,Kimberly Bizon,DEM,,,15443
LAPEER,U.S. House,10,Lisa McClain,REP,,,35306
LAPEER,U.S. House,10,Write-in,,,,168
LAPEER,State House,82,Jerry Tkach,DEM,,,13616
LAPEER,State House,82,Gary Howell,REP,,,37018
LAPEER,State House,82,WRITE-IN,,,,209
Lenawee,Straight Party,,Democratic Party,DEM,,,10428
Lenawee,Straight Party,,Republican Party,REP,,,18423
Lenawee,Straight Party,,Libertarian Party,LIB,,,214
Lenawee,Straight Party,,U.S. Taxpayers Party,UST,,,49
Lenawee,Straight Party,,Working Class Party,WC,,,181
Lenawee,Straight Party,,Green Party,GRN,,,46
Lenawee,Straight Party,,Natural Law Party,NAT,,,19
Lenawee,Straight Party,,Unresolved Write-in,,,,0
Lenawee,President,,Joseph R. Biden,DEM,,,20918
Lenawee,President,,Donald J. Trump,REP,,,31541
Lenawee,President,,Jo Jorgensen,LIB,,,690
Lenawee,President,,Don Blankenship,UST,,,84
Lenawee,President,,Howie Hawkins,GRN,,,119
Lenawee,President,,Rocky De La Fuente,NAT,,,22
Lenawee,President,,Unresolved Write-in,,,,78
Lenawee,U.S. Senate,,Gary Peters,DEM,,,19767
Lenawee,U.S. Senate,,John James,REP,,,31659
Lenawee,U.S. Senate,,Valerie L. Willis,UST,,,539
Lenawee,U.S. Senate,,Marcia Squier,GRN,,,413
Lenawee,U.S. Senate,,Doug Dern,NAT,,,139
Lenawee,U.S. Senate,,Unresolved Write-in,,,,61
Lenawee,U.S. House,7,Gretchen D. Driskell,DEM,,,20435
Lenawee,U.S. House,7,Tim Walberg,REP,,,32072
Lenawee,U.S. House,7,Unresolved Write-in,,,,94
Lenawee,State House,57,Will Garcia,DEM,,,16249
Lenawee,State House,57,Bronna Kahle,REP,,,32093
Lenawee,State House,57,Unresolved Write-in,,,,103
Lenawee,State House,65,Nancy Smith,DEM,,,1246
Lenawee,State House,65,Sarah L. Lightner,REP,,,2415
Lenawee,State House,65,Unresolved Write-in,,,,15
Kalamazoo,Straight Party,,Democratic Party,Democratic Party,,,42839
Kalamazoo,Straight Party,,Republican Party,Republican Party,,,31701
Kalamazoo,Straight Party,,Libertarian Party,Libertarian Party,,,554
Kalamazoo,Straight Party,,U. S. Taxpayers Party,U. S. Taxpayers Party,,,123
Kalamazoo,Straight Party,,Working Class Party,WCP,,,333
Kalamazoo,Straight Party,,Green Party,Green Party,,,232
Kalamazoo,Straight Party,,Natural Law Party,Natural Law Party,,,82
Kalamazoo,President,,Joseph R. Biden,Democratic Party,,,83686
Kalamazoo,President,,Donald J. Trump,Republican Party,,,56823
Kalamazoo,President,,Jo Jorgensen,Libertarian Party,,,2064
Kalamazoo,President,,Don Blankenship,U. S. Taxpayers Party,,,219
Kalamazoo,President,,Howie Hawkins,Green Party,,,494
Kalamazoo,President,,Rocky DeLaFuente,Natural Law Party,,,90
Kalamazoo,President,,Write-in,NONPARTISAN,,,332
Kalamazoo,President,,Brian T. Carroll,,,,37
Kalamazoo,President,,Tom Hoefling,,,,0
Kalamazoo,President,,Tara Renee Hunter,,,,0
Kalamazoo,President,,Jade Simmons,,,,1
Kalamazoo,President,,Kasey Wells,,,,0
Kalamazoo,U.S. Senate,,Gary Peters,Democratic Party,,,78842
Kalamazoo,U.S. Senate,,John James,Republican Party,,,60227
Kalamazoo,U.S. Senate,,Valerie L. Willis,U. S. Taxpayers Party,,,1371
Kalamazoo,U.S. Senate,,Marcia Squier,Green Party,,,1456
Kalamazoo,U.S. Senate,,Doug Dern,Natural Law Party,,,318
Kalamazoo,U.S. Senate,,Write-in,NONPARTISAN,,,125
Kalamazoo,U.S. Senate,,Robert William Carr,,,,1
Kalamazoo,U.S. Senate,,Leonard Paul Gadzinski,,,,0
Kalamazoo,U.S. House,6,Jon Hoadley,Democratic Party,,,71484
Kalamazoo,U.S. House,6,Fred Upton,Republican Party,,,65059
Kalamazoo,U.S. House,6,Jeff DePoy,Libertarian Party,,,3244
Kalamazoo,U.S. House,6,John Lawrence,Green Party,,,1663
Kalamazoo,U.S. House,6,Write-in,NONPARTISAN,,,240
Kalamazoo,U.S. House,6,Jerry Solis,,,,19
